feature	chromosome	start	end	SLX-16150.D707tp_D508tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D708tp_D502tp.HC22VBBXY.s_3.r_1
14:96500001-97000000	14	96500001	97000000	1.1	1.022	1.005
14:97000001-97500000	14	97000001	97500000	1.003	1.033	1.017
14:97500001-98000000	14	97500001	98000000	1.041	1.05	0.995
14:98000001-98500000	14	98000001	98500000	0.911	0.935	0.939
14:98500001-99000000	14	98500001	99000000	0.943	0.997	1.004
14:99000001-99500000	14	99000001	99500000	1.001	0.896	0.907
14:99500001-100000000	14	99500001	100000000	1.03	0.953	0.992
14:100000001-100500000	14	100000001	100500000	0.967	0.876	0.898
14:100500001-101000000	14	100500001	101000000	1.047	1.083	0.989
14:101000001-101500000	14	101000001	101500000	0.955	1.04	0.992
14:101500001-102000000	14	101500001	102000000	0.923	1.039	0.988
14:102000001-102500000	14	102000001	102500000	0.993	0.985	0.991
14:102500001-103000000	14	102500001	103000000	1.114	1.016	0.986
14:103000001-103500000	14	103000001	103500000	1.101	0.906	0.92
14:103500001-104000000	14	103500001	104000000	1.049	0.995	0.957
14:104000001-104500000	14	104000001	104500000	1.036	0.973	1.066
14:104500001-105000000	14	104500001	105000000	0.913	1.098	1.026
14:105000001-105500000	14	105000001	105500000	1.083	0.933	1.005
15:23500001-24000000	15	23500001	24000000	0.874	0.957	0.986
15:24500001-25000000	15	24500001	25000000	0.957	0.941	0.963
15:25000001-25500000	15	25000001	25500000	0.978	0.913	1.013
15:26000001-26500000	15	26000001	26500000	0.934	1.046	1.017
15:26500001-27000000	15	26500001	27000000	1.009	0.9	0.902
15:27000001-27500000	15	27000001	27500000	0.931	0.936	1.004
15:27500001-28000000	15	27500001	28000000	0.803	0.974	0.938
15:29000001-29500000	15	29000001	29500000	1.08	0.99	1.103
15:29500001-30000000	15	29500001	30000000	1.01	1.008	0.981
15:31000001-31500000	15	31000001	31500000	0.957	0.986	0.933
15:31500001-32000000	15	31500001	32000000	0.91	1.173	1.128
15:33000001-33500000	15	33000001	33500000	0.949	1.078	1.002
15:33500001-34000000	15	33500001	34000000	0.97	1.105	1.128
15:34000001-34500000	15	34000001	34500000	0.883	0.931	0.966
15:35500001-36000000	15	35500001	36000000	1.086	1.065	1.045
15:36000001-36500000	15	36000001	36500000	1.088	1.014	1.015
15:36500001-37000000	15	36500001	37000000	0.971	0.932	1.014
15:37000001-37500000	15	37000001	37500000	0.983	1.057	1.063
15:37500001-38000000	15	37500001	38000000	1.009	1.046	1.045
15:38000001-38500000	15	38000001	38500000	1.184	1.008	0.99
15:38500001-39000000	15	38500001	39000000	1.127	1.094	0.989
15:39000001-39500000	15	39000001	39500000	1.019	0.969	0.992
15:39500001-40000000	15	39500001	40000000	0.999	0.963	0.935
15:40500001-41000000	15	40500001	41000000	1.013	1.065	1.083
15:41500001-42000000	15	41500001	42000000	1.049	1.031	0.996
15:42000001-42500000	15	42000001	42500000	0.89	1.005	0.963
15:42500001-43000000	15	42500001	43000000	0.941	0.982	1.018
15:43000001-43500000	15	43000001	43500000	1.143	0.978	1.014
15:44000001-44500000	15	44000001	44500000	0.939	1.03	1.015
15:45000001-45500000	15	45000001	45500000	1.068	1.051	0.979
15:45500001-46000000	15	45500001	46000000	0.971	0.94	0.956
15:46000001-46500000	15	46000001	46500000	1.012	1.013	0.996
15:46500001-47000000	15	46500001	47000000	0.999	1.024	1.022
15:47000001-47500000	15	47000001	47500000	1.109	1.034	1.008
15:47500001-48000000	15	47500001	48000000	1.101	1.021	1
15:48000001-48500000	15	48000001	48500000	0.978	1.082	0.99
15:48500001-49000000	15	48500001	49000000	1.034	0.987	1.007
15:49000001-49500000	15	49000001	49500000	0.943	1.009	0.968
15:49500001-50000000	15	49500001	50000000	0.914	0.963	0.972
15:50000001-50500000	15	50000001	50500000	0.828	0.923	0.958
15:50500001-51000000	15	50500001	51000000	0.902	0.937	0.961
15:51000001-51500000	15	51000001	51500000	1.121	1.022	1.021
15:51500001-52000000	15	51500001	52000000	0.988	0.928	1.003
15:52500001-53000000	15	52500001	53000000	0.99	1.019	1.048
15:53000001-53500000	15	53000001	53500000	1.082	1.059	1.099
15:53500001-54000000	15	53500001	54000000	0.989	1.06	1.038
15:54000001-54500000	15	54000001	54500000	0.958	1.044	1.001
15:55000001-55500000	15	55000001	55500000	0.959	0.93	0.94
15:55500001-56000000	15	55500001	56000000	0.927	1.039	1.04
15:56000001-56500000	15	56000001	56500000	1.061	0.912	0.922
15:56500001-57000000	15	56500001	57000000	0.992	1.055	0.992
15:57000001-57500000	15	57000001	57500000	0.98	1.02	0.965
15:57500001-58000000	15	57500001	58000000	0.911	1.001	0.969
15:58500001-59000000	15	58500001	59000000	0.918	0.881	0.849
15:59000001-59500000	15	59000001	59500000	1.049	0.922	1.06
15:59500001-60000000	15	59500001	60000000	0.932	0.913	1.019
15:60000001-60500000	15	60000001	60500000	0.974	0.859	1.008
15:60500001-61000000	15	60500001	61000000	0.961	1.132	0.991
15:61000001-61500000	15	61000001	61500000	0.98	0.982	1.113
15:61500001-62000000	15	61500001	62000000	1.006	1.074	1.025
15:62000001-62500000	15	62000001	62500000	0.978	1.036	1.019
15:62500001-63000000	15	62500001	63000000	1.056	1.029	1.057
15:63000001-63500000	15	63000001	63500000	0.937	0.989	0.944
15:63500001-64000000	15	63500001	64000000	0.894	0.999	0.933
15:64000001-64500000	15	64000001	64500000	0.852	1.038	1.063
15:64500001-65000000	15	64500001	65000000	0.89	0.991	1.009
15:65000001-65500000	15	65000001	65500000	1.09	1.065	0.987
15:65500001-66000000	15	65500001	66000000	0.953	1.046	1.002
15:66000001-66500000	15	66000001	66500000	0.965	1.062	1.034
15:66500001-67000000	15	66500001	67000000	0.979	0.966	1
15:67500001-68000000	15	67500001	68000000	1.002	1.062	1.006
15:68000001-68500000	15	68000001	68500000	0.947	0.905	1.022
15:68500001-69000000	15	68500001	69000000	0.995	1.043	0.971
15:69000001-69500000	15	69000001	69500000	0.982	0.997	0.929
15:69500001-70000000	15	69500001	70000000	1.033	1.027	1.033
15:70000001-70500000	15	70000001	70500000	0.965	0.989	0.93
15:70500001-71000000	15	70500001	71000000	1.132	1.06	1.019
15:71000001-71500000	15	71000001	71500000	1.096	1.161	1.089
15:71500001-72000000	15	71500001	72000000	1.063	0.962	1.061
15:72000001-72500000	15	72000001	72500000	0.949	1.062	0.972
15:72500001-73000000	15	72500001	73000000	1.044	1.01	1.031
15:73000001-73500000	15	73000001	73500000	1.137	1.127	1.016
15:73500001-74000000	15	73500001	74000000	1.147	1.041	1.083
15:74000001-74500000	15	74000001	74500000	1.118	1.091	1.11
15:74500001-75000000	15	74500001	75000000	0.857	1.003	1.071
15:75500001-76000000	15	75500001	76000000	1.004	0.976	1.045
15:76000001-76500000	15	76000001	76500000	0.982	1.041	1.035
15:76500001-77000000	15	76500001	77000000	0.964	0.98	1.004
15:77000001-77500000	15	77000001	77500000	0.936	1.099	1
15:77500001-78000000	15	77500001	78000000	0.883	1.159	1.164
15:78000001-78500000	15	78000001	78500000	0.946	0.997	0.965
15:78500001-79000000	15	78500001	79000000	1.014	1.148	1.048
15:79000001-79500000	15	79000001	79500000	1.108	1.058	0.996
15:79500001-80000000	15	79500001	80000000	1.102	1.023	0.97
15:80000001-80500000	15	80000001	80500000	0.951	1.071	1.023
15:80500001-81000000	15	80500001	81000000	0.859	1.146	0.912
15:81000001-81500000	15	81000001	81500000	0.965	1.057	0.972
15:81500001-82000000	15	81500001	82000000	1.023	1.113	1.072
15:82500001-83000000	15	82500001	83000000	1.023	1.087	1.066
15:83000001-83500000	15	83000001	83500000	1.102	1.154	0.961
15:83500001-84000000	15	83500001	84000000	1.042	0.959	1.054
15:84500001-85000000	15	84500001	85000000	0.954	1.187	1.001
15:85500001-86000000	15	85500001	86000000	0.906	0.963	0.995
15:86000001-86500000	15	86000001	86500000	1.053	1.113	1.102
15:86500001-87000000	15	86500001	87000000	1.025	1.01	1.046
15:87000001-87500000	15	87000001	87500000	0.985	1.076	1.05
15:87500001-88000000	15	87500001	88000000	0.965	1.14	1.156
15:88000001-88500000	15	88000001	88500000	0.968	1.028	1.044
15:88500001-89000000	15	88500001	89000000	1.099	1.051	1.002
15:89000001-89500000	15	89000001	89500000	0.907	0.968	1.032
15:89500001-90000000	15	89500001	90000000	0.967	1.035	1.088
15:90000001-90500000	15	90000001	90500000	0.956	1.016	0.99
15:90500001-91000000	15	90500001	91000000	1.034	0.89	1.004
15:91000001-91500000	15	91000001	91500000	1.031	0.951	1.051
15:92000001-92500000	15	92000001	92500000	1.101	1.126	1.019
15:92500001-93000000	15	92500001	93000000	0.901	0.919	0.998
15:93000001-93500000	15	93000001	93500000	0.964	1.061	1.1
15:93500001-94000000	15	93500001	94000000	1.04	1.186	1.094
15:94000001-94500000	15	94000001	94500000	1	0.942	0.994
15:94500001-95000000	15	94500001	95000000	0.992	1.051	1.018
15:95000001-95500000	15	95000001	95500000	0.949	0.992	0.972
15:95500001-96000000	15	95500001	96000000	1.06	1.065	1
15:96000001-96500000	15	96000001	96500000	0.931	1.016	1.021
15:96500001-97000000	15	96500001	97000000	0.948	1.063	0.973
15:97000001-97500000	15	97000001	97500000	0.989	0.919	1.048
15:97500001-98000000	15	97500001	98000000	0.966	1.018	0.967
15:98000001-98500000	15	98000001	98500000	1.084	0.942	1.008
15:98500001-99000000	15	98500001	99000000	0.969	1.002	0.959
15:99000001-99500000	15	99000001	99500000	1.017	0.962	1.009
15:99500001-100000000	15	99500001	100000000	0.993	0.989	0.988
15:100000001-100500000	15	100000001	100500000	1.113	1.019	1.073
15:100500001-101000000	15	100500001	101000000	1.011	1.024	1.078
15:101000001-101500000	15	101000001	101500000	0.921	0.915	0.953
16:1-500000	16	1	500000	1.141	0.976	0.942
16:500001-1000000	16	500001	1000000	1.021	1.024	0.983
16:1000001-1500000	16	1000001	1500000	0.901	1.012	1.052
16:1500001-2000000	16	1500001	2000000	0.898	0.903	0.972
16:2000001-2500000	16	2000001	2500000	1.052	0.942	1.056
16:3500001-4000000	16	3500001	4000000	1.082	1.055	0.999
16:4000001-4500000	16	4000001	4500000	1.036	0.951	0.963
16:4500001-5000000	16	4500001	5000000	1.007	0.984	0.971
16:5500001-6000000	16	5500001	6000000	0.927	0.944	1.029
16:6000001-6500000	16	6000001	6500000	0.902	0.954	0.977
16:6500001-7000000	16	6500001	7000000	0.902	0.891	0.97
16:7000001-7500000	16	7000001	7500000	0.871	0.842	0.949
16:7500001-8000000	16	7500001	8000000	1.105	0.916	0.994
16:8000001-8500000	16	8000001	8500000	1.014	0.906	0.964
16:8500001-9000000	16	8500001	9000000	0.999	0.94	0.932
16:9000001-9500000	16	9000001	9500000	0.83	0.958	0.976
16:9500001-10000000	16	9500001	10000000	0.999	1.015	1.007
16:10000001-10500000	16	10000001	10500000	1.133	1.023	0.96
16:11000001-11500000	16	11000001	11500000	0.989	1.025	0.994
16:11500001-12000000	16	11500001	12000000	0.983	1.096	0.969
16:12000001-12500000	16	12000001	12500000	0.971	1.049	0.955
16:12500001-13000000	16	12500001	13000000	0.991	0.862	1.008
16:13000001-13500000	16	13000001	13500000	1.041	1.067	1.056
16:13500001-14000000	16	13500001	14000000	0.943	1.072	0.983
16:14000001-14500000	16	14000001	14500000	1.072	0.902	0.984
16:15500001-16000000	16	15500001	16000000	0.989	0.944	0.927
16:17000001-17500000	16	17000001	17500000	0.978	1.107	0.918
16:17500001-18000000	16	17500001	18000000	0.973	1.052	1.076
16:19000001-19500000	16	19000001	19500000	0.946	1.101	0.911
16:19500001-20000000	16	19500001	20000000	0.92	0.944	0.928
16:20000001-20500000	16	20000001	20500000	0.961	1.018	0.987
16:22000001-22500000	16	22000001	22500000	1.1	1.023	1.127
16:23000001-23500000	16	23000001	23500000	1.153	1.003	0.998
16:23500001-24000000	16	23500001	24000000	1.042	1.052	0.98
16:24000001-24500000	16	24000001	24500000	1.058	0.919	0.962
16:24500001-25000000	16	24500001	25000000	0.916	0.93	0.947
16:25000001-25500000	16	25000001	25500000	0.932	0.935	0.937
16:25500001-26000000	16	25500001	26000000	1.048	0.946	1.013
16:26000001-26500000	16	26000001	26500000	1.024	0.987	1.004
16:26500001-27000000	16	26500001	27000000	0.975	0.889	1.003
16:27000001-27500000	16	27000001	27500000	1.044	0.913	0.978
16:27500001-28000000	16	27500001	28000000	0.962	0.998	0.99
16:30500001-31000000	16	30500001	31000000	0.742	0.974	0.898
16:31000001-31500000	16	31000001	31500000	0.907	1.047	0.931
16:46500001-47000000	16	46500001	47000000	0.86	0.95	0.966
16:47000001-47500000	16	47000001	47500000	1.011	1.032	0.97
16:47500001-48000000	16	47500001	48000000	1.057	1.072	1.073
16:48000001-48500000	16	48000001	48500000	0.974	1.007	0.977
16:48500001-49000000	16	48500001	49000000	0.929	1.016	1.006
16:49000001-49500000	16	49000001	49500000	0.898	0.981	1.025
16:49500001-50000000	16	49500001	50000000	1.1	1.02	1.041
16:50000001-50500000	16	50000001	50500000	1.072	0.93	0.947
16:50500001-51000000	16	50500001	51000000	1.061	1.04	0.964
16:51000001-51500000	16	51000001	51500000	1.031	1.069	1.034
16:51500001-52000000	16	51500001	52000000	1.012	0.978	0.948
16:52000001-52500000	16	52000001	52500000	1.022	1.081	0.996
16:52500001-53000000	16	52500001	53000000	0.935	0.893	0.97
16:53000001-53500000	16	53000001	53500000	1.049	1.004	0.947
16:53500001-54000000	16	53500001	54000000	1.063	1.113	1.011
16:54000001-54500000	16	54000001	54500000	1.03	1.041	1.018
16:54500001-55000000	16	54500001	55000000	1.028	0.964	0.94
16:55000001-55500000	16	55000001	55500000	0.907	1.081	0.946
16:55500001-56000000	16	55500001	56000000	1.045	0.919	1.001
16:56000001-56500000	16	56000001	56500000	1.076	0.979	1
16:56500001-57000000	16	56500001	57000000	0.999	1.1	0.971
16:57000001-57500000	16	57000001	57500000	0.91	0.939	0.958
16:57500001-58000000	16	57500001	58000000	0.976	0.974	0.905
16:58000001-58500000	16	58000001	58500000	0.934	1.082	1.005
16:58500001-59000000	16	58500001	59000000	1.086	0.801	1.051
16:59000001-59500000	16	59000001	59500000	0.992	0.937	1.088
16:59500001-60000000	16	59500001	60000000	1.027	1.03	0.987
16:60500001-61000000	16	60500001	61000000	1.059	0.954	0.948
16:61000001-61500000	16	61000001	61500000	0.929	1.073	1.013
16:61500001-62000000	16	61500001	62000000	0.952	1.05	0.994
16:62000001-62500000	16	62000001	62500000	0.94	0.945	0.98
16:62500001-63000000	16	62500001	63000000	0.882	0.902	0.994
16:63000001-63500000	16	63000001	63500000	0.991	1.058	0.983
16:63500001-64000000	16	63500001	64000000	0.89	0.934	0.959
16:64000001-64500000	16	64000001	64500000	1.024	1.012	1.025
16:64500001-65000000	16	64500001	65000000	1.024	1.044	1.046
16:65000001-65500000	16	65000001	65500000	1.031	0.99	0.95
16:66000001-66500000	16	66000001	66500000	0.968	1.077	1.059
16:66500001-67000000	16	66500001	67000000	1.03	0.882	1.008
16:67000001-67500000	16	67000001	67500000	1.077	0.957	0.941
16:68000001-68500000	16	68000001	68500000	0.89	1.081	0.926
16:68500001-69000000	16	68500001	69000000	1.107	1.131	1.081
16:69500001-70000000	16	69500001	70000000	1.07	1.015	1.053
16:71500001-72000000	16	71500001	72000000	0.917	0.855	0.911
16:72000001-72500000	16	72000001	72500000	0.926	1.029	0.988
16:72500001-73000000	16	72500001	73000000	0.959	0.987	0.987
16:73500001-74000000	16	73500001	74000000	1.072	1.087	0.992
16:74000001-74500000	16	74000001	74500000	0.929	1.05	1.037
16:74500001-75000000	16	74500001	75000000	0.968	0.991	1.019
16:75000001-75500000	16	75000001	75500000	0.949	0.911	0.969
16:75500001-76000000	16	75500001	76000000	0.982	0.994	0.99
16:76000001-76500000	16	76000001	76500000	0.933	0.944	0.962
16:76500001-77000000	16	76500001	77000000	1.021	0.917	1.03
16:77000001-77500000	16	77000001	77500000	0.995	0.896	0.97
16:77500001-78000000	16	77500001	78000000	0.942	1.023	1.006
16:78000001-78500000	16	78000001	78500000	0.955	0.888	0.879
16:78500001-79000000	16	78500001	79000000	0.908	1.044	0.988
16:79000001-79500000	16	79000001	79500000	0.96	1.002	0.983
16:79500001-80000000	16	79500001	80000000	0.972	0.987	0.987
16:80000001-80500000	16	80000001	80500000	1.055	1.031	1.028
16:80500001-81000000	16	80500001	81000000	0.862	0.99	0.983
16:81000001-81500000	16	81000001	81500000	0.95	0.982	0.972
16:81500001-82000000	16	81500001	82000000	0.922	0.964	0.979
16:82500001-83000000	16	82500001	83000000	1.036	0.939	0.99
16:83000001-83500000	16	83000001	83500000	0.972	1.011	1.008
16:83500001-84000000	16	83500001	84000000	1.002	0.912	1.038
16:84000001-84500000	16	84000001	84500000	0.955	0.991	1.014
16:84500001-85000000	16	84500001	85000000	1.006	0.971	0.944
16:85000001-85500000	16	85000001	85500000	0.998	1.002	1.014
16:85500001-86000000	16	85500001	86000000	0.969	0.979	0.976
16:86000001-86500000	16	86000001	86500000	0.919	1.023	1.025
16:86500001-87000000	16	86500001	87000000	0.96	1.023	1.023
16:87000001-87500000	16	87000001	87500000	1.049	1.03	1.004
16:87500001-88000000	16	87500001	88000000	1.265	1.257	1.022
16:88500001-89000000	16	88500001	89000000	0.962	1	0.967
16:89000001-89500000	16	89000001	89500000	0.956	0.983	0.937
16:89500001-90000000	16	89500001	90000000	0.986	0.94	0.959
17:500001-1000000	17	500001	1000000	1.166	1.078	1.014
17:1000001-1500000	17	1000001	1500000	1.02	1.048	1.025
17:1500001-2000000	17	1500001	2000000	0.971	0.926	0.974
17:2000001-2500000	17	2000001	2500000	0.939	0.932	0.947
17:2500001-3000000	17	2500001	3000000	1.089	0.998	1.005
17:3500001-4000000	17	3500001	4000000	1.011	0.967	1.1
17:4000001-4500000	17	4000001	4500000	1.092	1.052	0.969
17:4500001-5000000	17	4500001	5000000	0.986	0.97	0.991
17:5000001-5500000	17	5000001	5500000	0.985	0.943	0.953
17:5500001-6000000	17	5500001	6000000	1.046	1.139	1.045
17:6000001-6500000	17	6000001	6500000	0.937	0.966	1.05
17:6500001-7000000	17	6500001	7000000	1.075	1.116	1.117
17:7000001-7500000	17	7000001	7500000	0.936	1.078	0.964
17:7500001-8000000	17	7500001	8000000	1.012	0.876	0.965
17:8000001-8500000	17	8000001	8500000	1.037	1.028	0.952
17:8500001-9000000	17	8500001	9000000	0.972	0.971	0.932
17:9000001-9500000	17	9000001	9500000	1.193	1.068	1.052
17:9500001-10000000	17	9500001	10000000	1.15	1.108	1.015
17:10000001-10500000	17	10000001	10500000	1.027	0.999	1.075
17:10500001-11000000	17	10500001	11000000	1.027	0.989	1.017
17:11000001-11500000	17	11000001	11500000	0.992	0.928	1.099
17:11500001-12000000	17	11500001	12000000	1.042	1.007	1.01
17:12000001-12500000	17	12000001	12500000	0.925	0.937	0.979
17:12500001-13000000	17	12500001	13000000	0.959	0.955	0.929
17:13000001-13500000	17	13000001	13500000	0.901	0.944	0.949
17:13500001-14000000	17	13500001	14000000	1.097	1.039	0.94
17:14500001-15000000	17	14500001	15000000	1.131	0.944	1.014
17:15000001-15500000	17	15000001	15500000	0.992	1.027	1.044
17:16000001-16500000	17	16000001	16500000	0.979	0.94	0.953
17:17000001-17500000	17	17000001	17500000	0.981	1.18	0.938
17:17500001-18000000	17	17500001	18000000	0.976	0.948	0.987
17:21000001-21500000	17	21000001	21500000	0.93	1.1	0.974
17:27000001-27500000	17	27000001	27500000	0.988	1.08	0.9
17:27500001-28000000	17	27500001	28000000	1.011	0.954	1.083
17:28000001-28500000	17	28000001	28500000	0.887	0.98	0.966
17:28500001-29000000	17	28500001	29000000	0.978	0.97	0.962
17:29000001-29500000	17	29000001	29500000	1.088	0.989	1.034
17:29500001-30000000	17	29500001	30000000	0.933	0.844	0.91
17:30000001-30500000	17	30000001	30500000	1.026	1.106	0.948
17:31000001-31500000	17	31000001	31500000	0.898	1.072	1.062
17:31500001-32000000	17	31500001	32000000	0.971	1.124	1.037
17:32500001-33000000	17	32500001	33000000	1.077	1.11	1.105
17:33000001-33500000	17	33000001	33500000	1.168	1.056	1.087
17:33500001-34000000	17	33500001	34000000	0.969	1.027	1.033
17:34000001-34500000	17	34000001	34500000	1.052	1.12	1.04
17:34500001-35000000	17	34500001	35000000	1.032	1.117	1.046
17:35000001-35500000	17	35000001	35500000	1.018	0.937	0.957
17:36500001-37000000	17	36500001	37000000	1.02	0.968	0.95
17:37000001-37500000	17	37000001	37500000	0.959	1.04	1.009
17:38500001-39000000	17	38500001	39000000	1.136	1.067	0.978
17:39000001-39500000	17	39000001	39500000	1.116	1.062	1.011
17:39500001-40000000	17	39500001	40000000	0.971	0.954	1.023
17:40000001-40500000	17	40000001	40500000	1.017	0.964	1.004
17:40500001-41000000	17	40500001	41000000	0.927	0.992	0.991
17:41000001-41500000	17	41000001	41500000	0.981	1.125	1.093
17:41500001-42000000	17	41500001	42000000	1.205	1.129	1.059
17:42000001-42500000	17	42000001	42500000	0.951	0.96	0.924
17:42500001-43000000	17	42500001	43000000	0.898	1.036	1.063
17:44000001-44500000	17	44000001	44500000	1.181	1.006	0.988
17:44500001-45000000	17	44500001	45000000	0.948	1.149	1.022
17:45000001-45500000	17	45000001	45500000	0.919	1.042	1.002
17:45500001-46000000	17	45500001	46000000	1.065	1.207	1.18
17:47500001-48000000	17	47500001	48000000	1.129	1.006	1.005
17:48000001-48500000	17	48000001	48500000	1.088	1.041	1.04
17:48500001-49000000	17	48500001	49000000	1.078	0.999	1.057
17:49000001-49500000	17	49000001	49500000	1.017	1.11	1.008
17:49500001-50000000	17	49500001	50000000	1.011	1.046	1.016
17:50000001-50500000	17	50000001	50500000	1.132	0.976	1.047
17:50500001-51000000	17	50500001	51000000	1.04	1.092	0.977
17:51000001-51500000	17	51000001	51500000	1	1.066	1.096
17:51500001-52000000	17	51500001	52000000	0.909	1.04	1.047
17:52000001-52500000	17	52000001	52500000	1.075	1.046	1.014
17:52500001-53000000	17	52500001	53000000	0.935	0.897	0.926
17:53500001-54000000	17	53500001	54000000	0.979	0.934	1.019
17:54000001-54500000	17	54000001	54500000	0.907	0.978	0.955
17:55000001-55500000	17	55000001	55500000	1.09	1.031	1.006
17:55500001-56000000	17	55500001	56000000	1.056	1.046	1.05
17:56000001-56500000	17	56000001	56500000	1.118	1.094	1.129
17:56500001-57000000	17	56500001	57000000	1.017	0.989	0.957
17:57000001-57500000	17	57000001	57500000	1.008	0.993	0.972
17:57500001-58000000	17	57500001	58000000	0.977	0.943	1.028
17:58000001-58500000	17	58000001	58500000	1.083	0.964	0.964
17:58500001-59000000	17	58500001	59000000	0.981	1.092	0.997
17:59500001-60000000	17	59500001	60000000	0.941	0.927	0.87
17:60500001-61000000	17	60500001	61000000	1.014	0.888	0.919
17:61000001-61500000	17	61000001	61500000	1.054	1.014	1.061
17:61500001-62000000	17	61500001	62000000	0.902	0.964	1.004
17:62500001-63000000	17	62500001	63000000	1.075	1.038	0.977
17:63500001-64000000	17	63500001	64000000	0.963	0.968	0.976
17:64000001-64500000	17	64000001	64500000	0.912	0.833	0.921
17:65000001-65500000	17	65000001	65500000	0.995	0.985	1.018
17:66000001-66500000	17	66000001	66500000	0.994	0.964	0.988
17:66500001-67000000	17	66500001	67000000	0.988	1.081	0.982
17:67000001-67500000	17	67000001	67500000	0.968	0.915	0.974
17:67500001-68000000	17	67500001	68000000	1.039	0.979	1.077
17:68500001-69000000	17	68500001	69000000	1.083	0.981	1.053
17:69000001-69500000	17	69000001	69500000	1.047	1.049	1.073
17:69500001-70000000	17	69500001	70000000	1.064	1.08	1.018
17:70000001-70500000	17	70000001	70500000	0.967	0.963	1.002
17:70500001-71000000	17	70500001	71000000	1.126	1.001	1.019
17:71000001-71500000	17	71000001	71500000	0.973	1.051	0.971
17:71500001-72000000	17	71500001	72000000	1.122	1.065	0.966
17:72500001-73000000	17	72500001	73000000	1.058	1.088	1.066
17:73000001-73500000	17	73000001	73500000	1	1.027	1.04
17:73500001-74000000	17	73500001	74000000	1.095	1.098	1.074
17:74000001-74500000	17	74000001	74500000	1.092	1.064	0.997
17:74500001-75000000	17	74500001	75000000	1.045	0.966	1.01
17:75000001-75500000	17	75000001	75500000	0.938	0.967	0.915
17:75500001-76000000	17	75500001	76000000	0.924	0.905	0.976
17:76000001-76500000	17	76000001	76500000	0.954	0.973	0.999
17:76500001-77000000	17	76500001	77000000	0.947	1.019	0.988
17:77000001-77500000	17	77000001	77500000	1.157	0.997	0.954
17:77500001-78000000	17	77500001	78000000	1.096	0.894	1.028
17:78000001-78500000	17	78000001	78500000	0.928	1.056	0.92
17:78500001-79000000	17	78500001	79000000	1.017	0.942	0.971
17:79000001-79500000	17	79000001	79500000	1.08	0.96	1.033
17:79500001-80000000	17	79500001	80000000	0.927	1.034	0.964
17:80000001-80500000	17	80000001	80500000	0.963	1.041	0.977
17:81000001-81500000	17	81000001	81500000	0.985	1.05	0.999
17:81500001-82000000	17	81500001	82000000	1.118	0.989	0.973
17:82000001-82500000	17	82000001	82500000	0.92	1.012	0.958
17:82500001-83000000	17	82500001	83000000	0.964	1.021	0.977
17:83000001-83257441	17	83000001	83257441	1.199	1.232	1.066
18:1-500000	18	1	500000	0.942	1.086	0.948
18:500001-1000000	18	500001	1000000	1.02	0.989	1.037
18:1000001-1500000	18	1000001	1500000	0.942	0.967	1.003
18:1500001-2000000	18	1500001	2000000	1.014	1.049	0.996
18:2000001-2500000	18	2000001	2500000	0.927	0.999	0.889
18:3000001-3500000	18	3000001	3500000	0.948	0.825	0.963
18:3500001-4000000	18	3500001	4000000	1.02	0.985	1.009
18:4000001-4500000	18	4000001	4500000	0.945	1.034	0.981
18:4500001-5000000	18	4500001	5000000	1.003	0.897	1.002
18:5000001-5500000	18	5000001	5500000	1.009	0.881	1.03
18:5500001-6000000	18	5500001	6000000	1.154	1.003	0.987
18:6000001-6500000	18	6000001	6500000	0.975	1.012	1.017
18:6500001-7000000	18	6500001	7000000	1.04	0.965	0.97
18:7000001-7500000	18	7000001	7500000	0.967	1.134	1.058
18:7500001-8000000	18	7500001	8000000	1.027	0.993	1.032
18:9000001-9500000	18	9000001	9500000	0.784	1.059	0.983
18:9500001-10000000	18	9500001	10000000	0.98	0.959	0.908
18:10000001-10500000	18	10000001	10500000	1.028	1.018	0.985
18:10500001-11000000	18	10500001	11000000	0.96	0.95	1.004
18:11000001-11500000	18	11000001	11500000	1.024	1.019	1.054
18:11500001-12000000	18	11500001	12000000	0.981	0.966	1.04
18:12500001-13000000	18	12500001	13000000	1.02	0.989	0.927
18:13000001-13500000	18	13000001	13500000	1.103	1.118	1.014
18:13500001-14000000	18	13500001	14000000	1.095	0.925	0.907
18:21000001-21500000	18	21000001	21500000	0.968	1.045	0.976
18:21500001-22000000	18	21500001	22000000	1.109	1.038	1.072
18:22000001-22500000	18	22000001	22500000	1.011	1.071	0.987
18:22500001-23000000	18	22500001	23000000	1.027	0.937	1.112
18:23000001-23500000	18	23000001	23500000	1.168	1.07	1.017
18:23500001-24000000	18	23500001	24000000	1.011	0.892	0.936
18:24000001-24500000	18	24000001	24500000	1.118	0.993	1.022
18:24500001-25000000	18	24500001	25000000	0.981	1.03	1.024
18:25000001-25500000	18	25000001	25500000	1.016	0.987	1.07
18:25500001-26000000	18	25500001	26000000	0.988	1.045	1.018
18:26000001-26500000	18	26000001	26500000	0.952	0.923	0.881
18:26500001-27000000	18	26500001	27000000	1.073	1.011	1.031
18:27000001-27500000	18	27000001	27500000	0.95	1.024	1.062
18:27500001-28000000	18	27500001	28000000	0.958	0.998	0.964
18:28000001-28500000	18	28000001	28500000	0.961	1.047	1.055
18:28500001-29000000	18	28500001	29000000	0.996	1.006	1.084
