feature	chromosome	start	end	SLX-16150.D707tp_D508tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D708tp_D502tp.HC22VBBXY.s_3.r_1
1:191000001-191500000	1	191000001	191500000	1.095	1.054	0.985
1:192000001-192500000	1	192000001	192500000	0.919	1.025	0.983
1:192500001-193000000	1	192500001	193000000	0.947	1.022	1.032
1:193000001-193500000	1	193000001	193500000	0.969	1.02	0.957
1:193500001-194000000	1	193500001	194000000	1.054	0.999	1.036
1:194000001-194500000	1	194000001	194500000	0.981	0.954	0.986
1:194500001-195000000	1	194500001	195000000	1.169	0.957	1.026
1:195500001-196000000	1	195500001	196000000	1.093	1.043	1.009
1:196000001-196500000	1	196000001	196500000	1.141	1.05	1.101
1:197000001-197500000	1	197000001	197500000	0.943	1.041	0.977
1:197500001-198000000	1	197500001	198000000	0.969	1.007	0.94
1:198000001-198500000	1	198000001	198500000	0.916	1.056	1.01
1:198500001-199000000	1	198500001	199000000	0.971	0.982	1.026
1:199500001-200000000	1	199500001	200000000	1.081	1.131	0.999
1:200000001-200500000	1	200000001	200500000	1.017	0.99	0.926
1:200500001-201000000	1	200500001	201000000	0.989	1.044	0.963
1:201000001-201500000	1	201000001	201500000	0.904	1.049	0.944
1:201500001-202000000	1	201500001	202000000	0.954	1.1	0.985
1:202000001-202500000	1	202000001	202500000	0.992	1.133	1.121
1:202500001-203000000	1	202500001	203000000	1.035	1.128	1.035
1:203000001-203500000	1	203000001	203500000	1.073	1.025	1.002
1:203500001-204000000	1	203500001	204000000	0.957	1.062	1.074
1:204000001-204500000	1	204000001	204500000	1.034	0.99	0.979
1:204500001-205000000	1	204500001	205000000	0.919	0.912	0.976
1:205000001-205500000	1	205000001	205500000	1.099	1.012	1
1:205500001-206000000	1	205500001	206000000	1.164	1.049	1.022
1:206500001-207000000	1	206500001	207000000	1.003	0.98	0.978
1:207000001-207500000	1	207000001	207500000	1.052	0.986	0.946
1:207500001-208000000	1	207500001	208000000	0.91	0.972	0.927
1:208000001-208500000	1	208000001	208500000	0.865	1.073	1.046
1:208500001-209000000	1	208500001	209000000	1.053	1.044	1.081
1:209000001-209500000	1	209000001	209500000	1.025	0.918	1.023
1:209500001-210000000	1	209500001	210000000	1.05	0.966	1.048
1:210000001-210500000	1	210000001	210500000	1.046	1.008	1.026
1:210500001-211000000	1	210500001	211000000	1.081	1.107	1.058
1:211000001-211500000	1	211000001	211500000	0.976	1.073	1.052
1:211500001-212000000	1	211500001	212000000	0.986	1.066	1.002
1:212000001-212500000	1	212000001	212500000	0.824	1.001	0.971
1:212500001-213000000	1	212500001	213000000	0.903	0.915	0.953
1:213000001-213500000	1	213000001	213500000	1.001	1.052	0.992
1:213500001-214000000	1	213500001	214000000	1.051	0.974	1.02
1:214000001-214500000	1	214000001	214500000	0.999	1.141	1.043
1:216000001-216500000	1	216000001	216500000	1.009	0.988	1.002
1:216500001-217000000	1	216500001	217000000	1.097	1.022	1.015
1:217000001-217500000	1	217000001	217500000	0.973	0.937	0.974
1:217500001-218000000	1	217500001	218000000	1.007	0.871	0.981
1:218000001-218500000	1	218000001	218500000	1.062	0.923	1.01
1:218500001-219000000	1	218500001	219000000	0.914	0.932	1.016
1:219000001-219500000	1	219000001	219500000	0.875	1.034	1.003
1:219500001-220000000	1	219500001	220000000	1.099	0.995	0.956
1:220000001-220500000	1	220000001	220500000	0.967	1.061	1.021
1:220500001-221000000	1	220500001	221000000	1.004	0.941	1.016
1:221000001-221500000	1	221000001	221500000	1.204	1.026	1.016
1:221500001-222000000	1	221500001	222000000	1.203	1.085	1.066
1:222000001-222500000	1	222000001	222500000	1.073	1.155	1.086
1:222500001-223000000	1	222500001	223000000	0.984	1.022	1.037
1:223000001-223500000	1	223000001	223500000	0.948	1.006	1.151
1:224000001-224500000	1	224000001	224500000	0.808	0.959	0.926
1:224500001-225000000	1	224500001	225000000	1.084	1.062	1.099
1:225000001-225500000	1	225000001	225500000	0.969	1.038	1.056
1:225500001-226000000	1	225500001	226000000	0.914	0.977	1.002
1:226000001-226500000	1	226000001	226500000	0.895	0.998	0.957
1:227000001-227500000	1	227000001	227500000	0.883	0.923	0.966
1:228000001-228500000	1	228000001	228500000	0.97	1.003	0.895
1:228500001-229000000	1	228500001	229000000	1.031	1.099	1.122
1:229500001-230000000	1	229500001	230000000	0.975	0.954	0.967
1:230000001-230500000	1	230000001	230500000	0.899	0.967	0.972
1:230500001-231000000	1	230500001	231000000	1.054	1.033	0.967
1:231000001-231500000	1	231000001	231500000	0.974	1.067	0.922
1:231500001-232000000	1	231500001	232000000	1.12	1.132	1.026
1:232000001-232500000	1	232000001	232500000	0.962	1.099	1.074
1:232500001-233000000	1	232500001	233000000	1.063	0.984	1.014
1:233500001-234000000	1	233500001	234000000	0.975	0.986	1.061
1:234000001-234500000	1	234000001	234500000	1.035	1.001	1.009
1:234500001-235000000	1	234500001	235000000	0.929	1.046	0.958
1:235000001-235500000	1	235000001	235500000	0.905	0.966	0.934
1:236000001-236500000	1	236000001	236500000	0.969	0.979	0.973
1:236500001-237000000	1	236500001	237000000	0.942	1.03	1.002
1:237000001-237500000	1	237000001	237500000	0.993	1.048	0.993
1:238000001-238500000	1	238000001	238500000	0.952	0.992	0.972
1:238500001-239000000	1	238500001	239000000	0.977	1.056	0.964
1:239000001-239500000	1	239000001	239500000	1.15	1.067	1.001
1:239500001-240000000	1	239500001	240000000	1.001	1.031	0.927
1:240000001-240500000	1	240000001	240500000	0.894	0.913	0.964
1:240500001-241000000	1	240500001	241000000	1.013	0.889	0.926
1:241000001-241500000	1	241000001	241500000	0.987	0.984	1.039
1:241500001-242000000	1	241500001	242000000	1.018	1.043	0.96
1:242000001-242500000	1	242000001	242500000	0.965	0.966	0.955
1:243500001-244000000	1	243500001	244000000	0.962	0.995	0.991
1:244000001-244500000	1	244000001	244500000	0.959	0.954	1.009
1:244500001-245000000	1	244500001	245000000	0.957	0.957	0.953
1:245000001-245500000	1	245000001	245500000	0.993	1.096	0.999
1:245500001-246000000	1	245500001	246000000	1.145	1.036	1.078
1:246000001-246500000	1	246000001	246500000	0.987	0.984	0.914
1:246500001-247000000	1	246500001	247000000	1.002	0.814	0.968
1:247000001-247500000	1	247000001	247500000	1.039	0.974	1.065
1:247500001-248000000	1	247500001	248000000	1.01	0.959	1.123
2:1-500000	2	1	500000	0.984	1.056	1.001
2:1500001-2000000	2	1500001	2000000	1.011	0.992	1.038
2:2000001-2500000	2	2000001	2500000	1.007	1.046	1.018
2:2500001-3000000	2	2500001	3000000	0.944	0.994	0.96
2:3000001-3500000	2	3000001	3500000	0.977	0.917	0.978
2:3500001-4000000	2	3500001	4000000	1.023	1.067	0.935
2:4000001-4500000	2	4000001	4500000	0.929	0.884	0.981
2:4500001-5000000	2	4500001	5000000	0.967	1.028	0.983
2:5000001-5500000	2	5000001	5500000	0.995	0.934	1.006
2:5500001-6000000	2	5500001	6000000	1.05	1.023	0.972
2:6000001-6500000	2	6000001	6500000	0.945	0.982	0.998
2:6500001-7000000	2	6500001	7000000	1.034	0.958	0.952
2:7000001-7500000	2	7000001	7500000	1.133	0.984	1.059
2:7500001-8000000	2	7500001	8000000	0.95	1.027	1.033
2:8000001-8500000	2	8000001	8500000	1.019	1.158	0.927
2:8500001-9000000	2	8500001	9000000	1.007	0.92	1.001
2:9000001-9500000	2	9000001	9500000	0.921	0.969	1.012
2:9500001-10000000	2	9500001	10000000	0.971	1.038	0.936
2:10000001-10500000	2	10000001	10500000	0.92	1.054	0.965
2:10500001-11000000	2	10500001	11000000	0.975	0.965	0.986
2:11000001-11500000	2	11000001	11500000	1.05	0.92	0.868
2:11500001-12000000	2	11500001	12000000	0.999	1.072	0.995
2:12000001-12500000	2	12000001	12500000	0.972	0.962	1.006
2:12500001-13000000	2	12500001	13000000	1.021	0.97	1.007
2:13000001-13500000	2	13000001	13500000	0.879	0.941	0.903
2:13500001-14000000	2	13500001	14000000	1.117	0.922	0.933
2:14000001-14500000	2	14000001	14500000	0.994	0.978	1.021
2:14500001-15000000	2	14500001	15000000	1.021	0.986	1.039
2:15000001-15500000	2	15000001	15500000	0.907	0.979	1.013
2:15500001-16000000	2	15500001	16000000	0.971	1.064	0.98
2:16500001-17000000	2	16500001	17000000	0.952	1.057	0.999
2:17000001-17500000	2	17000001	17500000	1.059	1.074	1.021
2:17500001-18000000	2	17500001	18000000	1.011	1.032	0.99
2:18000001-18500000	2	18000001	18500000	1.049	0.955	1.06
2:18500001-19000000	2	18500001	19000000	0.957	0.961	0.929
2:19000001-19500000	2	19000001	19500000	0.891	1.022	1.022
2:19500001-20000000	2	19500001	20000000	0.958	1.046	0.961
