feature	chromosome	start	end	SLX-16150.D711tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D504tp.HC22VBBXY.s_3.r_1	SLX-17921.D709tp_D507tp.H5J55BBXY.s_8.r_1
1:163000001-163500000	1	163000001	163500000	1.076	1.096	1.023
1:163500001-164000000	1	163500001	164000000	0.965	0.929	1.087
1:164000001-164500000	1	164000001	164500000	1.159	1.142	1.057
1:164500001-165000000	1	164500001	165000000	1.107	1.046	1.041
1:165000001-165500000	1	165000001	165500000	1.102	0.993	1.016
1:165500001-166000000	1	165500001	166000000	1.091	0.951	1.063
1:166000001-166500000	1	166000001	166500000	1.109	1.086	1.122
1:166500001-167000000	1	166500001	167000000	0.895	1.076	1.079
1:167000001-167500000	1	167000001	167500000	0.995	0.982	0.899
1:167500001-168000000	1	167500001	168000000	1.107	0.979	1.041
1:168000001-168500000	1	168000001	168500000	1.024	0.933	1.046
1:168500001-169000000	1	168500001	169000000	1.087	1.039	1.162
1:169500001-170000000	1	169500001	170000000	0.982	1.064	0.98
1:170500001-171000000	1	170500001	171000000	1.002	1.036	1.004
1:171000001-171500000	1	171000001	171500000	1.021	1.127	1.014
1:171500001-172000000	1	171500001	172000000	1.162	0.956	0.897
1:172000001-172500000	1	172000001	172500000	1.057	1.117	1.059
1:173000001-173500000	1	173000001	173500000	1.089	1.115	1.072
1:173500001-174000000	1	173500001	174000000	0.926	1.029	1.025
1:174000001-174500000	1	174000001	174500000	0.921	0.995	1.008
1:174500001-175000000	1	174500001	175000000	1.044	0.943	0.976
1:175000001-175500000	1	175000001	175500000	1.151	1.045	1.023
1:175500001-176000000	1	175500001	176000000	1.081	1.084	1.064
1:176000001-176500000	1	176000001	176500000	0.912	0.983	1.002
1:176500001-177000000	1	176500001	177000000	1.002	0.884	1.059
1:177000001-177500000	1	177000001	177500000	1.121	1.113	0.93
1:177500001-178000000	1	177500001	178000000	1.034	0.952	1.161
1:178000001-178500000	1	178000001	178500000	1.021	0.984	1.098
1:178500001-179000000	1	178500001	179000000	1.048	0.97	1.02
1:179000001-179500000	1	179000001	179500000	1.009	0.978	1.009
1:179500001-180000000	1	179500001	180000000	1.022	0.896	1.052
1:180000001-180500000	1	180000001	180500000	0.998	1.005	0.96
1:180500001-181000000	1	180500001	181000000	0.865	0.975	0.99
1:181500001-182000000	1	181500001	182000000	1.111	0.999	1.016
1:182000001-182500000	1	182000001	182500000	1.006	1.018	1.053
1:182500001-183000000	1	182500001	183000000	1.102	0.964	1.123
1:183000001-183500000	1	183000001	183500000	1.015	1.03	0.886
1:183500001-184000000	1	183500001	184000000	0.981	1.053	0.915
1:184000001-184500000	1	184000001	184500000	1.012	1.019	0.966
1:184500001-185000000	1	184500001	185000000	0.955	0.904	1.067
1:185000001-185500000	1	185000001	185500000	1.018	0.958	0.905
1:185500001-186000000	1	185500001	186000000	1.087	0.947	1.06
1:186000001-186500000	1	186000001	186500000	0.996	1.074	1.056
1:186500001-187000000	1	186500001	187000000	1.172	1.083	0.977
1:187000001-187500000	1	187000001	187500000	1.111	1.045	1.056
1:187500001-188000000	1	187500001	188000000	0.999	0.902	0.929
1:188000001-188500000	1	188000001	188500000	0.984	0.914	1.039
1:188500001-189000000	1	188500001	189000000	1.058	0.904	1.139
1:189000001-189500000	1	189000001	189500000	1.064	1.126	1.002
1:189500001-190000000	1	189500001	190000000	0.965	0.917	0.968
1:190000001-190500000	1	190000001	190500000	1.047	1.025	1
