feature	chromosome	start	end	SLX-17921.D702tp_D503tp.H5J55BBXY.s_8.r_1	SLX-17921.D703tp_D506tp.H5J55BBXY.s_8.r_1
3:188500001-189000000	3	188500001	189000000	0.973	0.921
3:189000001-189500000	3	189000001	189500000	0.973	1.008
3:189500001-190000000	3	189500001	190000000	1.052	1.038
3:190000001-190500000	3	190000001	190500000	0.965	0.988
3:190500001-191000000	3	190500001	191000000	0.982	1.003
3:191000001-191500000	3	191000001	191500000	0.963	0.946
3:191500001-192000000	3	191500001	192000000	0.895	0.965
3:192000001-192500000	3	192000001	192500000	1.065	1.023
3:193000001-193500000	3	193000001	193500000	1.062	1.035
3:193500001-194000000	3	193500001	194000000	0.966	0.911
3:194000001-194500000	3	194000001	194500000	0.931	0.936
3:194500001-195000000	3	194500001	195000000	0.982	1.044
3:195000001-195500000	3	195000001	195500000	0.968	0.984
3:196000001-196500000	3	196000001	196500000	0.921	0.982
3:196500001-197000000	3	196500001	197000000	1.071	0.952
3:197000001-197500000	3	197000001	197500000	0.959	1.018
3:197500001-198000000	3	197500001	198000000	1.094	0.937
4:500001-1000000	4	500001	1000000	0.997	1.039
4:1000001-1500000	4	1000001	1500000	0.994	0.982
4:1500001-2000000	4	1500001	2000000	1.06	0.98
4:2000001-2500000	4	2000001	2500000	0.944	0.991
4:2500001-3000000	4	2500001	3000000	0.914	0.935
4:3000001-3500000	4	3000001	3500000	1.005	1.007
4:4500001-5000000	4	4500001	5000000	1.119	1.07
4:5500001-6000000	4	5500001	6000000	1.062	1.152
4:6000001-6500000	4	6000001	6500000	0.97	1.02
4:6500001-7000000	4	6500001	7000000	0.911	0.868
4:7000001-7500000	4	7000001	7500000	1.086	0.991
4:7500001-8000000	4	7500001	8000000	1.047	0.994
4:8000001-8500000	4	8000001	8500000	0.973	1.017
4:8500001-9000000	4	8500001	9000000	1.259	1.095
4:10000001-10500000	4	10000001	10500000	0.945	0.857
4:10500001-11000000	4	10500001	11000000	0.995	1.04
4:11000001-11500000	4	11000001	11500000	1.104	1.014
4:11500001-12000000	4	11500001	12000000	1.175	1.023
4:12000001-12500000	4	12000001	12500000	0.942	1.025
4:13000001-13500000	4	13000001	13500000	0.911	1.048
4:13500001-14000000	4	13500001	14000000	0.926	0.991
4:14000001-14500000	4	14000001	14500000	1.087	0.969
4:15000001-15500000	4	15000001	15500000	1.009	1.003
4:15500001-16000000	4	15500001	16000000	0.903	0.934
4:16000001-16500000	4	16000001	16500000	1.034	0.981
4:16500001-17000000	4	16500001	17000000	1.022	1.077
4:17500001-18000000	4	17500001	18000000	1.005	0.942
4:18000001-18500000	4	18000001	18500000	1.092	1.006
4:19000001-19500000	4	19000001	19500000	0.949	0.921
4:19500001-20000000	4	19500001	20000000	0.989	0.976
4:20000001-20500000	4	20000001	20500000	1.06	1.04
4:20500001-21000000	4	20500001	21000000	1.113	1.011
4:21000001-21500000	4	21000001	21500000	0.988	1.014
4:21500001-22000000	4	21500001	22000000	0.988	1.028
4:22000001-22500000	4	22000001	22500000	1.012	0.981
4:23000001-23500000	4	23000001	23500000	1.05	0.977
4:23500001-24000000	4	23500001	24000000	0.926	1.035
4:24000001-24500000	4	24000001	24500000	0.988	1.033
4:24500001-25000000	4	24500001	25000000	0.978	1.018
4:25000001-25500000	4	25000001	25500000	0.887	0.907
4:26000001-26500000	4	26000001	26500000	1.052	0.937
4:26500001-27000000	4	26500001	27000000	1.085	1.072
4:27000001-27500000	4	27000001	27500000	1.061	0.974
4:28000001-28500000	4	28000001	28500000	0.92	0.911
4:28500001-29000000	4	28500001	29000000	1.085	0.965
4:29000001-29500000	4	29000001	29500000	1.027	0.943
4:29500001-30000000	4	29500001	30000000	0.961	0.966
4:30000001-30500000	4	30000001	30500000	0.842	0.878
4:31000001-31500000	4	31000001	31500000	0.983	0.939
4:31500001-32000000	4	31500001	32000000	0.854	0.959
4:32500001-33000000	4	32500001	33000000	0.995	1.012
4:33000001-33500000	4	33000001	33500000	0.912	1.02
4:33500001-34000000	4	33500001	34000000	0.892	0.962
4:34000001-34500000	4	34000001	34500000	0.831	0.927
4:34500001-35000000	4	34500001	35000000	0.9	0.894
4:35000001-35500000	4	35000001	35500000	0.994	0.937
4:35500001-36000000	4	35500001	36000000	1.107	1.073
4:36000001-36500000	4	36000001	36500000	0.921	1.026
4:36500001-37000000	4	36500001	37000000	0.974	0.953
4:37000001-37500000	4	37000001	37500000	0.938	1.001
4:37500001-38000000	4	37500001	38000000	0.921	0.998
4:38000001-38500000	4	38000001	38500000	0.994	1.006
4:38500001-39000000	4	38500001	39000000	0.907	0.926
4:39000001-39500000	4	39000001	39500000	0.955	0.996
4:39500001-40000000	4	39500001	40000000	0.881	0.847
4:40000001-40500000	4	40000001	40500000	1.065	0.965
4:40500001-41000000	4	40500001	41000000	1.074	1.015
4:41500001-42000000	4	41500001	42000000	1.079	1.006
4:42000001-42500000	4	42000001	42500000	1.114	1.025
4:42500001-43000000	4	42500001	43000000	0.924	0.992
4:43000001-43500000	4	43000001	43500000	1.055	1.021
4:43500001-44000000	4	43500001	44000000	0.947	0.994
4:44000001-44500000	4	44000001	44500000	1.012	0.994
4:44500001-45000000	4	44500001	45000000	1.041	0.95
4:45000001-45500000	4	45000001	45500000	0.911	0.972
4:45500001-46000000	4	45500001	46000000	0.999	1.017
4:46000001-46500000	4	46000001	46500000	0.979	1.009
4:46500001-47000000	4	46500001	47000000	1.033	0.993
4:47000001-47500000	4	47000001	47500000	1.005	0.973
4:48000001-48500000	4	48000001	48500000	1.014	0.974
4:48500001-49000000	4	48500001	49000000	1.026	0.955
4:52000001-52500000	4	52000001	52500000	1.035	1.05
4:52500001-53000000	4	52500001	53000000	1.045	1.08
4:53000001-53500000	4	53000001	53500000	1.081	1.055
4:53500001-54000000	4	53500001	54000000	1.076	0.965
4:54000001-54500000	4	54000001	54500000	0.992	1.061
4:54500001-55000000	4	54500001	55000000	0.942	1.044
4:55500001-56000000	4	55500001	56000000	1.05	1.033
4:56000001-56500000	4	56000001	56500000	0.936	1.024
4:56500001-57000000	4	56500001	57000000	0.986	1.002
4:57000001-57500000	4	57000001	57500000	0.938	0.998
4:57500001-58000000	4	57500001	58000000	1	1.052
4:58000001-58500000	4	58000001	58500000	0.983	0.969
4:58500001-59000000	4	58500001	59000000	1.048	0.983
4:59000001-59500000	4	59000001	59500000	0.989	0.997
4:59500001-60000000	4	59500001	60000000	0.943	0.993
4:60000001-60500000	4	60000001	60500000	0.932	0.978
4:60500001-61000000	4	60500001	61000000	1.123	1.008
4:61000001-61500000	4	61000001	61500000	1.02	0.989
4:61500001-62000000	4	61500001	62000000	0.927	1.045
4:62000001-62500000	4	62000001	62500000	1.069	1.011
4:62500001-63000000	4	62500001	63000000	0.957	0.985
4:63000001-63500000	4	63000001	63500000	0.976	0.925
4:63500001-64000000	4	63500001	64000000	0.999	0.961
4:64000001-64500000	4	64000001	64500000	0.861	0.916
4:65000001-65500000	4	65000001	65500000	0.982	0.941
4:65500001-66000000	4	65500001	66000000	1.048	1.03
4:66500001-67000000	4	66500001	67000000	1.082	1
4:67000001-67500000	4	67000001	67500000	1.072	1.051
4:67500001-68000000	4	67500001	68000000	0.953	1.041
4:69500001-70000000	4	69500001	70000000	0.976	1.005
4:70000001-70500000	4	70000001	70500000	1.071	1.05
4:70500001-71000000	4	70500001	71000000	0.872	0.927
4:71000001-71500000	4	71000001	71500000	1.077	1.124
4:71500001-72000000	4	71500001	72000000	0.979	0.974
4:72000001-72500000	4	72000001	72500000	0.996	1.008
4:72500001-73000000	4	72500001	73000000	1.1	1.05
4:73000001-73500000	4	73000001	73500000	1.013	1.01
4:73500001-74000000	4	73500001	74000000	0.96	1.005
4:74000001-74500000	4	74000001	74500000	0.915	0.944
4:74500001-75000000	4	74500001	75000000	1.072	0.978
4:75500001-76000000	4	75500001	76000000	0.989	0.969
4:76000001-76500000	4	76000001	76500000	0.991	1.015
4:76500001-77000000	4	76500001	77000000	1.014	0.967
4:77000001-77500000	4	77000001	77500000	1.034	1.036
4:77500001-78000000	4	77500001	78000000	0.862	0.99
4:78500001-79000000	4	78500001	79000000	1.044	0.952
4:79000001-79500000	4	79000001	79500000	0.97	1.057
4:79500001-80000000	4	79500001	80000000	1.006	1.059
4:80000001-80500000	4	80000001	80500000	1.048	0.963
4:80500001-81000000	4	80500001	81000000	1.064	1.136
4:81000001-81500000	4	81000001	81500000	1.031	1.059
4:81500001-82000000	4	81500001	82000000	1.019	1.035
4:82000001-82500000	4	82000001	82500000	1.101	1.07
4:82500001-83000000	4	82500001	83000000	0.976	0.937
4:83500001-84000000	4	83500001	84000000	0.987	0.963
4:84000001-84500000	4	84000001	84500000	1.075	1.058
4:84500001-85000000	4	84500001	85000000	1.022	0.985
4:85000001-85500000	4	85000001	85500000	1.004	1.048
4:85500001-86000000	4	85500001	86000000	0.904	0.966
4:86000001-86500000	4	86000001	86500000	1.069	1.142
4:86500001-87000000	4	86500001	87000000	1.006	0.981
4:87000001-87500000	4	87000001	87500000	0.996	0.92
4:87500001-88000000	4	87500001	88000000	1.055	1.047
4:88000001-88500000	4	88000001	88500000	1.005	0.883
4:88500001-89000000	4	88500001	89000000	1.092	1.077
4:89000001-89500000	4	89000001	89500000	1.018	0.961
4:90000001-90500000	4	90000001	90500000	0.998	1.11
4:90500001-91000000	4	90500001	91000000	0.994	1.002
4:91000001-91500000	4	91000001	91500000	1.005	0.97
4:91500001-92000000	4	91500001	92000000	1.008	0.99
4:92000001-92500000	4	92000001	92500000	1.016	1.013
4:93000001-93500000	4	93000001	93500000	1.081	1.045
4:93500001-94000000	4	93500001	94000000	1.006	1.073
4:94000001-94500000	4	94000001	94500000	1.115	1.038
4:94500001-95000000	4	94500001	95000000	1.011	1.073
4:95000001-95500000	4	95000001	95500000	1.1	1.06
4:95500001-96000000	4	95500001	96000000	0.949	1.006
4:96000001-96500000	4	96000001	96500000	0.966	1.008
4:96500001-97000000	4	96500001	97000000	1.095	1.039
4:97000001-97500000	4	97000001	97500000	0.915	1.093
4:97500001-98000000	4	97500001	98000000	1.015	0.985
4:98000001-98500000	4	98000001	98500000	1.057	1.052
4:98500001-99000000	4	98500001	99000000	1.001	1.02
4:99000001-99500000	4	99000001	99500000	0.981	1.049
4:99500001-100000000	4	99500001	100000000	0.96	0.992
4:100000001-100500000	4	100000001	100500000	0.903	0.938
4:100500001-101000000	4	100500001	101000000	1.013	1.046
4:101000001-101500000	4	101000001	101500000	1.01	1.054
4:101500001-102000000	4	101500001	102000000	0.975	1.07
4:102000001-102500000	4	102000001	102500000	1.071	1.015
4:103000001-103500000	4	103000001	103500000	1.022	0.93
4:103500001-104000000	4	103500001	104000000	1.092	1.062
4:104000001-104500000	4	104000001	104500000	0.977	1.067
4:104500001-105000000	4	104500001	105000000	1.069	1.05
4:105000001-105500000	4	105000001	105500000	1.022	1.023
4:105500001-106000000	4	105500001	106000000	1.006	0.997
4:106000001-106500000	4	106000001	106500000	0.975	0.957
4:106500001-107000000	4	106500001	107000000	0.938	1.031
4:107000001-107500000	4	107000001	107500000	1.006	1.04
4:108000001-108500000	4	108000001	108500000	1.017	1.077
4:108500001-109000000	4	108500001	109000000	0.996	1.024
4:109000001-109500000	4	109000001	109500000	1.056	0.972
4:109500001-110000000	4	109500001	110000000	0.953	1.075
4:110000001-110500000	4	110000001	110500000	0.986	1.064
4:110500001-111000000	4	110500001	111000000	1.048	1.038
4:111000001-111500000	4	111000001	111500000	0.945	0.992
4:111500001-112000000	4	111500001	112000000	1.014	1.129
4:112500001-113000000	4	112500001	113000000	0.927	0.968
4:113000001-113500000	4	113000001	113500000	1.132	1.086
4:113500001-114000000	4	113500001	114000000	1.02	1.052
4:114000001-114500000	4	114000001	114500000	1.035	0.957
4:114500001-115000000	4	114500001	115000000	0.971	1.034
4:115000001-115500000	4	115000001	115500000	0.914	0.976
4:115500001-116000000	4	115500001	116000000	1.005	1.005
4:116500001-117000000	4	116500001	117000000	0.933	0.976
4:117000001-117500000	4	117000001	117500000	0.975	1.03
4:117500001-118000000	4	117500001	118000000	0.876	0.994
4:118000001-118500000	4	118000001	118500000	0.939	1.005
4:119500001-120000000	4	119500001	120000000	0.935	0.956
4:120000001-120500000	4	120000001	120500000	0.988	0.968
4:120500001-121000000	4	120500001	121000000	1.139	1.035
4:121000001-121500000	4	121000001	121500000	0.988	1.104
4:121500001-122000000	4	121500001	122000000	1.077	1.013
4:122000001-122500000	4	122000001	122500000	0.935	1.045
4:122500001-123000000	4	122500001	123000000	1.065	1.004
4:123000001-123500000	4	123000001	123500000	0.946	0.993
4:123500001-124000000	4	123500001	124000000	1.124	1.078
4:124000001-124500000	4	124000001	124500000	1	1.1
4:124500001-125000000	4	124500001	125000000	0.917	0.962
4:125000001-125500000	4	125000001	125500000	1.001	1.047
4:125500001-126000000	4	125500001	126000000	0.977	1.051
4:126000001-126500000	4	126000001	126500000	0.95	0.978
4:126500001-127000000	4	126500001	127000000	0.89	1.024
4:127000001-127500000	4	127000001	127500000	0.927	1.005
4:127500001-128000000	4	127500001	128000000	0.934	0.959
4:128500001-129000000	4	128500001	129000000	1.099	1.007
4:129000001-129500000	4	129000001	129500000	0.945	1.023
4:129500001-130000000	4	129500001	130000000	0.989	1.077
4:130000001-130500000	4	130000001	130500000	0.989	0.992
4:130500001-131000000	4	130500001	131000000	1.078	0.935
4:131000001-131500000	4	131000001	131500000	1.072	0.938
4:132000001-132500000	4	132000001	132500000	0.939	0.92
4:132500001-133000000	4	132500001	133000000	0.939	1.016
4:133000001-133500000	4	133000001	133500000	0.981	1.028
4:133500001-134000000	4	133500001	134000000	0.935	0.931
4:134000001-134500000	4	134000001	134500000	0.985	0.952
4:134500001-135000000	4	134500001	135000000	0.951	1.001
4:135000001-135500000	4	135000001	135500000	0.865	0.951
4:135500001-136000000	4	135500001	136000000	0.976	0.961
4:136000001-136500000	4	136000001	136500000	0.971	0.995
4:136500001-137000000	4	136500001	137000000	1.024	0.999
4:137000001-137500000	4	137000001	137500000	0.99	0.978
4:137500001-138000000	4	137500001	138000000	1.011	0.973
4:138000001-138500000	4	138000001	138500000	1.028	0.984
4:138500001-139000000	4	138500001	139000000	1.096	1.057
4:139000001-139500000	4	139000001	139500000	0.872	0.925
4:139500001-140000000	4	139500001	140000000	0.972	0.984
4:140000001-140500000	4	140000001	140500000	1.017	0.969
4:141000001-141500000	4	141000001	141500000	0.946	1.024
4:141500001-142000000	4	141500001	142000000	0.991	0.999
4:142000001-142500000	4	142000001	142500000	1.058	1.047
4:142500001-143000000	4	142500001	143000000	1.06	1.061
4:144500001-145000000	4	144500001	145000000	1.042	0.932
4:145000001-145500000	4	145000001	145500000	1.009	0.965
4:145500001-146000000	4	145500001	146000000	1.052	1.016
4:146000001-146500000	4	146000001	146500000	0.988	1.045
4:146500001-147000000	4	146500001	147000000	0.953	1.053
4:147000001-147500000	4	147000001	147500000	1.055	1.104
4:147500001-148000000	4	147500001	148000000	1.009	0.944
4:148000001-148500000	4	148000001	148500000	0.993	1.05
4:148500001-149000000	4	148500001	149000000	1.051	1.073
4:149000001-149500000	4	149000001	149500000	0.902	1.01
4:149500001-150000000	4	149500001	150000000	1.043	1.044
4:150000001-150500000	4	150000001	150500000	1.026	1.026
4:150500001-151000000	4	150500001	151000000	0.91	1.001
4:151000001-151500000	4	151000001	151500000	0.925	0.947
4:151500001-152000000	4	151500001	152000000	1.013	1.013
4:152000001-152500000	4	152000001	152500000	0.986	0.975
4:152500001-153000000	4	152500001	153000000	0.859	0.957
4:153000001-153500000	4	153000001	153500000	0.904	0.924
4:153500001-154000000	4	153500001	154000000	1.023	0.941
4:154000001-154500000	4	154000001	154500000	0.968	1.018
4:154500001-155000000	4	154500001	155000000	1.03	0.993
4:155500001-156000000	4	155500001	156000000	1	0.988
4:156000001-156500000	4	156000001	156500000	0.959	1.048
4:156500001-157000000	4	156500001	157000000	1.017	1.021
4:157000001-157500000	4	157000001	157500000	1.035	1.046
4:158000001-158500000	4	158000001	158500000	0.986	1.033
4:158500001-159000000	4	158500001	159000000	0.988	1.019
4:159000001-159500000	4	159000001	159500000	1.058	0.976
4:159500001-160000000	4	159500001	160000000	0.942	0.968
4:160500001-161000000	4	160500001	161000000	1.083	1.001
4:162500001-163000000	4	162500001	163000000	0.853	0.921
4:163000001-163500000	4	163000001	163500000	1.02	1.036
4:163500001-164000000	4	163500001	164000000	1.006	0.993
4:164000001-164500000	4	164000001	164500000	1.083	1.042
4:164500001-165000000	4	164500001	165000000	0.943	0.993
4:165000001-165500000	4	165000001	165500000	0.991	0.954
4:165500001-166000000	4	165500001	166000000	1.001	0.951
4:166000001-166500000	4	166000001	166500000	0.943	0.989
4:166500001-167000000	4	166500001	167000000	1.013	1.003
4:167000001-167500000	4	167000001	167500000	1.036	1.067
4:167500001-168000000	4	167500001	168000000	0.986	0.999
4:168000001-168500000	4	168000001	168500000	0.941	0.938
4:168500001-169000000	4	168500001	169000000	0.978	0.986
4:169000001-169500000	4	169000001	169500000	1.019	0.925
4:169500001-170000000	4	169500001	170000000	0.977	1.024
4:170000001-170500000	4	170000001	170500000	1.074	1.036
4:170500001-171000000	4	170500001	171000000	1.071	1.026
4:171000001-171500000	4	171000001	171500000	0.869	1.003
4:171500001-172000000	4	171500001	172000000	0.982	0.962
4:172500001-173000000	4	172500001	173000000	0.971	0.951
4:173000001-173500000	4	173000001	173500000	0.95	1.026
4:173500001-174000000	4	173500001	174000000	1.125	1.037
4:174000001-174500000	4	174000001	174500000	1	0.901
4:174500001-175000000	4	174500001	175000000	0.953	0.948
4:175000001-175500000	4	175000001	175500000	0.918	1.007
4:175500001-176000000	4	175500001	176000000	0.861	0.986
4:176000001-176500000	4	176000001	176500000	0.912	0.935
4:176500001-177000000	4	176500001	177000000	0.975	0.925
4:177000001-177500000	4	177000001	177500000	1.03	0.979
4:177500001-178000000	4	177500001	178000000	1.033	0.957
4:178000001-178500000	4	178000001	178500000	0.95	1.046
4:178500001-179000000	4	178500001	179000000	1.008	0.949
4:179500001-180000000	4	179500001	180000000	0.99	0.978
4:180000001-180500000	4	180000001	180500000	1.003	1.008
4:180500001-181000000	4	180500001	181000000	0.895	1.034
4:181000001-181500000	4	181000001	181500000	1.033	0.98
4:181500001-182000000	4	181500001	182000000	0.982	1.045
4:182000001-182500000	4	182000001	182500000	1.003	1
4:182500001-183000000	4	182500001	183000000	1.004	1.011
4:183500001-184000000	4	183500001	184000000	0.938	1.052
4:184000001-184500000	4	184000001	184500000	0.848	0.982
4:184500001-185000000	4	184500001	185000000	0.975	0.947
4:185000001-185500000	4	185000001	185500000	1.022	0.968
4:185500001-186000000	4	185500001	186000000	1.033	1.018
4:186000001-186500000	4	186000001	186500000	0.998	0.982
4:186500001-187000000	4	186500001	187000000	0.945	1.07
4:187000001-187500000	4	187000001	187500000	0.847	0.914
4:187500001-188000000	4	187500001	188000000	0.982	0.964
4:188500001-189000000	4	188500001	189000000	0.899	0.936
4:189000001-189500000	4	189000001	189500000	0.976	0.974
5:500001-1000000	5	500001	1000000	1.06	1.01
5:1000001-1500000	5	1000001	1500000	1.043	1.022
5:1500001-2000000	5	1500001	2000000	1.17	1.064
5:2000001-2500000	5	2000001	2500000	0.989	0.942
5:2500001-3000000	5	2500001	3000000	0.874	0.913
5:3000001-3500000	5	3000001	3500000	1.021	0.972
5:4000001-4500000	5	4000001	4500000	0.962	0.967
5:4500001-5000000	5	4500001	5000000	0.924	0.95
5:5500001-6000000	5	5500001	6000000	0.956	0.97
5:6000001-6500000	5	6000001	6500000	0.96	1.029
5:6500001-7000000	5	6500001	7000000	0.905	0.941
5:7000001-7500000	5	7000001	7500000	1.023	1.035
5:7500001-8000000	5	7500001	8000000	1.005	0.976
5:8000001-8500000	5	8000001	8500000	0.945	1.031
5:9000001-9500000	5	9000001	9500000	1.01	1.026
5:9500001-10000000	5	9500001	10000000	0.962	0.984
5:10000001-10500000	5	10000001	10500000	0.928	0.978
5:10500001-11000000	5	10500001	11000000	0.999	0.984
5:11000001-11500000	5	11000001	11500000	0.868	1.017
5:11500001-12000000	5	11500001	12000000	1.084	1.018
5:12000001-12500000	5	12000001	12500000	1.038	0.948
5:12500001-13000000	5	12500001	13000000	0.976	1.018
5:13000001-13500000	5	13000001	13500000	0.952	0.985
5:13500001-14000000	5	13500001	14000000	0.952	0.957
5:14000001-14500000	5	14000001	14500000	0.862	0.951
5:14500001-15000000	5	14500001	15000000	1.006	0.942
5:15000001-15500000	5	15000001	15500000	0.961	0.958
5:15500001-16000000	5	15500001	16000000	0.97	0.915
5:16000001-16500000	5	16000001	16500000	1.054	1.009
5:16500001-17000000	5	16500001	17000000	1.068	1.047
5:17000001-17500000	5	17000001	17500000	0.946	1.076
5:17500001-18000000	5	17500001	18000000	1.092	1.002
5:18000001-18500000	5	18000001	18500000	1.031	0.948
5:18500001-19000000	5	18500001	19000000	1.003	0.986
5:19000001-19500000	5	19000001	19500000	0.938	0.953
5:19500001-20000000	5	19500001	20000000	0.818	0.938
5:20000001-20500000	5	20000001	20500000	1.048	0.97
5:21500001-22000000	5	21500001	22000000	1.04	0.992
5:22000001-22500000	5	22000001	22500000	1.041	0.916
5:22500001-23000000	5	22500001	23000000	0.88	0.936
5:23000001-23500000	5	23000001	23500000	0.961	0.921
5:23500001-24000000	5	23500001	24000000	0.952	0.957
5:24000001-24500000	5	24000001	24500000	1.034	0.995
5:24500001-25000000	5	24500001	25000000	1.062	0.984
5:25000001-25500000	5	25000001	25500000	0.977	0.97
5:25500001-26000000	5	25500001	26000000	0.95	0.917
5:26000001-26500000	5	26000001	26500000	0.93	0.886
5:26500001-27000000	5	26500001	27000000	0.924	0.978
5:27000001-27500000	5	27000001	27500000	0.995	1.015
5:27500001-28000000	5	27500001	28000000	1.015	0.979
5:28000001-28500000	5	28000001	28500000	0.977	0.947
5:28500001-29000000	5	28500001	29000000	0.898	1.044
5:29000001-29500000	5	29000001	29500000	1.011	1.011
5:29500001-30000000	5	29500001	30000000	0.964	0.918
5:30000001-30500000	5	30000001	30500000	1.021	0.983
5:30500001-31000000	5	30500001	31000000	0.938	1.089
5:31000001-31500000	5	31000001	31500000	0.877	0.994
5:31500001-32000000	5	31500001	32000000	1.112	0.987
5:32000001-32500000	5	32000001	32500000	0.856	0.937
5:33000001-33500000	5	33000001	33500000	0.966	1.039
5:33500001-34000000	5	33500001	34000000	0.978	0.99
5:34500001-35000000	5	34500001	35000000	0.995	0.986
5:35000001-35500000	5	35000001	35500000	0.976	1.059
5:35500001-36000000	5	35500001	36000000	1.051	1.002
5:36000001-36500000	5	36000001	36500000	0.979	0.948
5:36500001-37000000	5	36500001	37000000	1.076	0.994
5:37500001-38000000	5	37500001	38000000	1.111	1.044
5:38000001-38500000	5	38000001	38500000	1.092	1.102
5:38500001-39000000	5	38500001	39000000	1.08	1.05
5:39000001-39500000	5	39000001	39500000	1.044	0.94
5:39500001-40000000	5	39500001	40000000	1.068	1.01
5:40000001-40500000	5	40000001	40500000	1.026	0.993
5:40500001-41000000	5	40500001	41000000	1.017	0.907
5:41000001-41500000	5	41000001	41500000	1.056	1.089
5:41500001-42000000	5	41500001	42000000	1.063	1.067
5:42000001-42500000	5	42000001	42500000	0.961	1.128
5:42500001-43000000	5	42500001	43000000	0.998	0.993
5:43000001-43500000	5	43000001	43500000	0.959	1.076
5:43500001-44000000	5	43500001	44000000	1.068	1.073
5:44000001-44500000	5	44000001	44500000	1.035	1.001
5:44500001-45000000	5	44500001	45000000	1.006	1.019
5:45000001-45500000	5	45000001	45500000	1.029	1.065
5:50500001-51000000	5	50500001	51000000	1.021	1.023
5:51000001-51500000	5	51000001	51500000	1.058	1.08
5:51500001-52000000	5	51500001	52000000	0.935	1.018
5:52000001-52500000	5	52000001	52500000	0.994	1.072
5:52500001-53000000	5	52500001	53000000	1.057	1.051
5:53000001-53500000	5	53000001	53500000	0.999	1.048
5:53500001-54000000	5	53500001	54000000	1.1	1.046
5:54000001-54500000	5	54000001	54500000	0.908	1.038
5:54500001-55000000	5	54500001	55000000	1.016	1
5:55000001-55500000	5	55000001	55500000	1.045	1.019
5:55500001-56000000	5	55500001	56000000	0.995	1.035
5:56000001-56500000	5	56000001	56500000	0.961	0.946
5:56500001-57000000	5	56500001	57000000	1.035	0.902
5:57000001-57500000	5	57000001	57500000	1.015	0.952
5:57500001-58000000	5	57500001	58000000	0.985	1.042
5:58000001-58500000	5	58000001	58500000	1.132	1.095
5:58500001-59000000	5	58500001	59000000	0.989	1.138
5:59000001-59500000	5	59000001	59500000	1.008	0.973
5:59500001-60000000	5	59500001	60000000	1.007	1.033
5:60000001-60500000	5	60000001	60500000	1.167	1.078
5:61000001-61500000	5	61000001	61500000	0.927	0.99
5:61500001-62000000	5	61500001	62000000	0.999	1.04
5:62000001-62500000	5	62000001	62500000	1.098	1.04
5:62500001-63000000	5	62500001	63000000	0.893	1.087
5:63000001-63500000	5	63000001	63500000	1.036	0.994
5:63500001-64000000	5	63500001	64000000	0.972	0.954
5:64000001-64500000	5	64000001	64500000	1.075	1.011
5:64500001-65000000	5	64500001	65000000	0.975	1.056
5:65000001-65500000	5	65000001	65500000	1.026	0.974
5:65500001-66000000	5	65500001	66000000	0.919	0.922
5:66500001-67000000	5	66500001	67000000	0.936	0.994
5:67000001-67500000	5	67000001	67500000	1.073	0.982
5:67500001-68000000	5	67500001	68000000	1.069	1.063
5:68000001-68500000	5	68000001	68500000	0.897	1.017
5:68500001-69000000	5	68500001	69000000	1.056	1.072
5:69000001-69500000	5	69000001	69500000	0.88	0.917
5:71500001-72000000	5	71500001	72000000	1.056	1.015
5:72000001-72500000	5	72000001	72500000	0.944	0.954
5:72500001-73000000	5	72500001	73000000	1.046	1.059
5:73000001-73500000	5	73000001	73500000	1.074	1.085
5:74000001-74500000	5	74000001	74500000	1.034	1.01
5:74500001-75000000	5	74500001	75000000	0.994	0.979
5:75000001-75500000	5	75000001	75500000	1.077	1.006
5:75500001-76000000	5	75500001	76000000	0.991	1.088
5:76000001-76500000	5	76000001	76500000	1.126	1.053
5:76500001-77000000	5	76500001	77000000	0.93	1.038
5:77000001-77500000	5	77000001	77500000	0.951	1.03
5:77500001-78000000	5	77500001	78000000	0.979	1.027
5:78000001-78500000	5	78000001	78500000	0.986	1.018
5:78500001-79000000	5	78500001	79000000	1.139	1.059
5:79500001-80000000	5	79500001	80000000	1.059	1.03
5:80000001-80500000	5	80000001	80500000	1.016	1.032
5:81000001-81500000	5	81000001	81500000	1.085	1.035
5:81500001-82000000	5	81500001	82000000	0.998	0.974
5:82000001-82500000	5	82000001	82500000	1.097	1.07
5:82500001-83000000	5	82500001	83000000	1.06	1.062
5:83000001-83500000	5	83000001	83500000	1.179	1.028
5:83500001-84000000	5	83500001	84000000	1.125	1.05
5:84000001-84500000	5	84000001	84500000	0.989	1.033
5:84500001-85000000	5	84500001	85000000	0.988	0.923
5:85000001-85500000	5	85000001	85500000	0.86	1.015
5:85500001-86000000	5	85500001	86000000	0.947	1.008
5:86000001-86500000	5	86000001	86500000	1.005	0.999
5:86500001-87000000	5	86500001	87000000	1.07	1.014
5:87000001-87500000	5	87000001	87500000	1.037	1.02
5:87500001-88000000	5	87500001	88000000	0.994	1.048
5:88000001-88500000	5	88000001	88500000	1.036	1.004
5:88500001-89000000	5	88500001	89000000	1.008	0.989
5:89000001-89500000	5	89000001	89500000	1.012	1.039
5:89500001-90000000	5	89500001	90000000	0.965	1.034
5:90000001-90500000	5	90000001	90500000	1.006	1.063
5:90500001-91000000	5	90500001	91000000	1.039	1.026
5:91000001-91500000	5	91000001	91500000	0.961	0.954
5:91500001-92000000	5	91500001	92000000	0.945	0.961
5:92000001-92500000	5	92000001	92500000	1.034	0.967
