feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
1:179500001-180000000	1	179500001	180000000	1.175	1.385	1.151
1:180000001-180500000	1	180000001	180500000	1.084	0.987	1.028
1:180500001-181000000	1	180500001	181000000	1.127	0.984	1.137
1:181500001-182000000	1	181500001	182000000	1.286	1.225	1.127
1:182000001-182500000	1	182000001	182500000	1.179	1.104	1.151
1:182500001-183000000	1	182500001	183000000	1.141	1.043	1.021
1:183000001-183500000	1	183000001	183500000	1.216	1.153	1.206
1:183500001-184000000	1	183500001	184000000	1.24	1.183	1.107
1:184000001-184500000	1	184000001	184500000	1.176	1.093	1.217
1:184500001-185000000	1	184500001	185000000	1.126	1.152	1.075
1:185000001-185500000	1	185000001	185500000	1.15	0.98	1.072
1:185500001-186000000	1	185500001	186000000	1.178	1.114	1.224
1:186000001-186500000	1	186000001	186500000	1.208	1.161	1.117
1:186500001-187000000	1	186500001	187000000	1.159	0.932	1.136
1:187000001-187500000	1	187000001	187500000	1.19	1.157	1.019
1:187500001-188000000	1	187500001	188000000	1.167	1.14	1.05
1:188000001-188500000	1	188000001	188500000	1.183	1.037	1.132
1:188500001-189000000	1	188500001	189000000	1.24	1.187	1.15
1:189000001-189500000	1	189000001	189500000	1.165	1.126	1.162
1:189500001-190000000	1	189500001	190000000	1.108	1.069	0.977
1:190000001-190500000	1	190000001	190500000	1.181	1.271	1.162
1:190500001-191000000	1	190500001	191000000	1.216	1.192	1.346
1:191000001-191500000	1	191000001	191500000	1.313	1.183	1.225
1:192000001-192500000	1	192000001	192500000	1.234	1.317	1.301
1:192500001-193000000	1	192500001	193000000	1.23	1.015	1.166
1:193000001-193500000	1	193000001	193500000	1.105	1.095	1.087
1:193500001-194000000	1	193500001	194000000	1.214	1.357	1.06
1:194000001-194500000	1	194000001	194500000	1.2	1.087	1.055
1:194500001-195000000	1	194500001	195000000	1.199	1.162	1.17
1:195500001-196000000	1	195500001	196000000	1.202	1.24	1.176
1:196000001-196500000	1	196000001	196500000	1.178	1.183	1.272
1:197000001-197500000	1	197000001	197500000	1.122	1.101	1.023
1:197500001-198000000	1	197500001	198000000	1.202	1.242	1.177
1:198000001-198500000	1	198000001	198500000	1.165	1.263	1.151
1:198500001-199000000	1	198500001	199000000	1.227	1.129	0.996
