feature	chromosome	start	end	SLX-16150.D712tp_D505tp.HC22VBBXY.s_3.r_1	SLX-17922.D706tp_D502tp.HC22GBBXY.s_6.r_1
4:23500001-24000000	4	23500001	24000000	1.023	1.087
4:24000001-24500000	4	24000001	24500000	0.978	0.902
4:24500001-25000000	4	24500001	25000000	1.031	0.903
4:25000001-25500000	4	25000001	25500000	0.927	0.872
4:26000001-26500000	4	26000001	26500000	1.02	0.896
4:26500001-27000000	4	26500001	27000000	1.075	1.106
4:27000001-27500000	4	27000001	27500000	0.991	0.995
4:28000001-28500000	4	28000001	28500000	0.891	0.933
4:28500001-29000000	4	28500001	29000000	0.966	1.127
4:29000001-29500000	4	29000001	29500000	0.957	0.975
4:29500001-30000000	4	29500001	30000000	0.946	1.03
4:30000001-30500000	4	30000001	30500000	0.972	1.017
4:31000001-31500000	4	31000001	31500000	0.985	0.993
4:31500001-32000000	4	31500001	32000000	0.898	0.963
4:32500001-33000000	4	32500001	33000000	1.035	1.095
4:33000001-33500000	4	33000001	33500000	0.93	0.93
4:33500001-34000000	4	33500001	34000000	0.974	0.927
4:34000001-34500000	4	34000001	34500000	0.936	0.965
4:34500001-35000000	4	34500001	35000000	0.942	0.852
4:35000001-35500000	4	35000001	35500000	0.956	0.989
4:35500001-36000000	4	35500001	36000000	0.985	1.024
4:36000001-36500000	4	36000001	36500000	1.054	1.081
4:36500001-37000000	4	36500001	37000000	0.903	0.995
4:37000001-37500000	4	37000001	37500000	1.034	1.043
4:37500001-38000000	4	37500001	38000000	1.006	1.015
4:38000001-38500000	4	38000001	38500000	0.986	0.976
4:38500001-39000000	4	38500001	39000000	0.89	0.975
4:39000001-39500000	4	39000001	39500000	0.887	0.85
4:39500001-40000000	4	39500001	40000000	0.91	0.857
4:40000001-40500000	4	40000001	40500000	1.009	1.062
4:40500001-41000000	4	40500001	41000000	1.102	1.065
4:41500001-42000000	4	41500001	42000000	1.065	1.086
4:42000001-42500000	4	42000001	42500000	0.996	1.087
4:42500001-43000000	4	42500001	43000000	1.035	0.953
4:43000001-43500000	4	43000001	43500000	1.004	1.068
4:43500001-44000000	4	43500001	44000000	1.007	1
4:44000001-44500000	4	44000001	44500000	0.946	1.052
4:44500001-45000000	4	44500001	45000000	0.953	0.943
4:45000001-45500000	4	45000001	45500000	0.98	0.89
4:45500001-46000000	4	45500001	46000000	0.897	0.934
4:46000001-46500000	4	46000001	46500000	1.053	0.933
4:46500001-47000000	4	46500001	47000000	1.002	1.076
4:47000001-47500000	4	47000001	47500000	0.959	1.074
4:48000001-48500000	4	48000001	48500000	0.992	0.94
4:48500001-49000000	4	48500001	49000000	0.917	0.991
4:52000001-52500000	4	52000001	52500000	1.075	1.089
4:52500001-53000000	4	52500001	53000000	1.08	1.121
4:53000001-53500000	4	53000001	53500000	1.013	0.985
4:53500001-54000000	4	53500001	54000000	1.069	1.093
4:54000001-54500000	4	54000001	54500000	1.099	1.102
4:54500001-55000000	4	54500001	55000000	1.042	1.012
4:55500001-56000000	4	55500001	56000000	0.99	1.061
4:56000001-56500000	4	56000001	56500000	0.953	0.92
4:56500001-57000000	4	56500001	57000000	0.996	0.993
4:57000001-57500000	4	57000001	57500000	0.973	1.05
4:57500001-58000000	4	57500001	58000000	1.087	0.995
4:58000001-58500000	4	58000001	58500000	0.948	1.015
4:58500001-59000000	4	58500001	59000000	0.954	0.967
4:59000001-59500000	4	59000001	59500000	0.924	0.831
4:59500001-60000000	4	59500001	60000000	0.998	0.987
4:60000001-60500000	4	60000001	60500000	0.923	0.951
4:60500001-61000000	4	60500001	61000000	0.988	1.074
4:61000001-61500000	4	61000001	61500000	1.027	1.102
4:61500001-62000000	4	61500001	62000000	1.028	1.063
4:62000001-62500000	4	62000001	62500000	0.949	0.966
4:62500001-63000000	4	62500001	63000000	0.946	0.971
4:63000001-63500000	4	63000001	63500000	0.99	0.91
4:63500001-64000000	4	63500001	64000000	0.902	0.982
4:64000001-64500000	4	64000001	64500000	0.927	0.876
4:65000001-65500000	4	65000001	65500000	0.984	0.983
4:65500001-66000000	4	65500001	66000000	0.961	1.055
4:66500001-67000000	4	66500001	67000000	0.936	1.051
4:67000001-67500000	4	67000001	67500000	1.024	1.047
4:67500001-68000000	4	67500001	68000000	0.969	0.958
4:69500001-70000000	4	69500001	70000000	0.886	1.013
4:70000001-70500000	4	70000001	70500000	1.02	1.003
4:70500001-71000000	4	70500001	71000000	0.877	0.96
4:71000001-71500000	4	71000001	71500000	1.113	1.133
4:71500001-72000000	4	71500001	72000000	0.978	1.024
4:72000001-72500000	4	72000001	72500000	1.018	1.056
4:72500001-73000000	4	72500001	73000000	1.06	1.043
4:73000001-73500000	4	73000001	73500000	0.94	0.944
4:73500001-74000000	4	73500001	74000000	0.975	0.936
4:74000001-74500000	4	74000001	74500000	0.933	0.958
4:74500001-75000000	4	74500001	75000000	1.053	1.147
4:75500001-76000000	4	75500001	76000000	0.931	0.872
4:76000001-76500000	4	76000001	76500000	1.01	0.994
4:76500001-77000000	4	76500001	77000000	0.99	1.048
4:77000001-77500000	4	77000001	77500000	1.026	1.012
4:77500001-78000000	4	77500001	78000000	0.989	1.017
4:78500001-79000000	4	78500001	79000000	0.987	0.943
4:79000001-79500000	4	79000001	79500000	0.961	1.019
4:79500001-80000000	4	79500001	80000000	0.982	1.096
4:80000001-80500000	4	80000001	80500000	1.024	0.944
4:80500001-81000000	4	80500001	81000000	1.08	1.053
4:81000001-81500000	4	81000001	81500000	0.998	1.044
4:81500001-82000000	4	81500001	82000000	1.058	1.023
4:82000001-82500000	4	82000001	82500000	1.058	0.985
4:82500001-83000000	4	82500001	83000000	0.952	0.94
4:83500001-84000000	4	83500001	84000000	0.977	0.839
4:84000001-84500000	4	84000001	84500000	1	1.027
4:84500001-85000000	4	84500001	85000000	0.957	0.985
4:85000001-85500000	4	85000001	85500000	1.041	1.044
4:85500001-86000000	4	85500001	86000000	0.99	0.966
4:86000001-86500000	4	86000001	86500000	1.145	1.123
4:86500001-87000000	4	86500001	87000000	0.982	1.114
4:87000001-87500000	4	87000001	87500000	0.912	0.991
4:87500001-88000000	4	87500001	88000000	1.096	1.064
4:88000001-88500000	4	88000001	88500000	1.027	0.976
4:88500001-89000000	4	88500001	89000000	0.988	0.918
4:89000001-89500000	4	89000001	89500000	1.008	0.908
4:90000001-90500000	4	90000001	90500000	1.094	1.088
4:90500001-91000000	4	90500001	91000000	1.011	0.921
4:91000001-91500000	4	91000001	91500000	0.968	0.993
4:91500001-92000000	4	91500001	92000000	1.049	0.964
4:92000001-92500000	4	92000001	92500000	0.934	0.946
4:93000001-93500000	4	93000001	93500000	1.026	1.072
4:93500001-94000000	4	93500001	94000000	0.995	0.998
4:94000001-94500000	4	94000001	94500000	0.974	1.065
4:94500001-95000000	4	94500001	95000000	1.014	1.053
4:95000001-95500000	4	95000001	95500000	1.085	1.016
4:95500001-96000000	4	95500001	96000000	0.971	0.926
4:96000001-96500000	4	96000001	96500000	0.991	1.078
4:96500001-97000000	4	96500001	97000000	1.082	0.955
4:97000001-97500000	4	97000001	97500000	0.99	1.008
4:97500001-98000000	4	97500001	98000000	0.948	0.929
4:98000001-98500000	4	98000001	98500000	0.978	1.014
4:98500001-99000000	4	98500001	99000000	0.951	0.954
4:99000001-99500000	4	99000001	99500000	0.964	1.015
4:99500001-100000000	4	99500001	100000000	0.942	0.843
4:100000001-100500000	4	100000001	100500000	0.994	0.983
4:100500001-101000000	4	100500001	101000000	1.041	1.064
4:101000001-101500000	4	101000001	101500000	1.026	0.964
4:101500001-102000000	4	101500001	102000000	1.039	1.017
4:102000001-102500000	4	102000001	102500000	1.081	0.972
4:103000001-103500000	4	103000001	103500000	1.045	1.021
4:103500001-104000000	4	103500001	104000000	1.021	0.972
4:104000001-104500000	4	104000001	104500000	1.036	0.986
4:104500001-105000000	4	104500001	105000000	1.033	1.023
4:105000001-105500000	4	105000001	105500000	1.021	1.039
4:105500001-106000000	4	105500001	106000000	0.976	1.072
4:106000001-106500000	4	106000001	106500000	1.009	0.94
4:106500001-107000000	4	106500001	107000000	1.065	1.061
4:107000001-107500000	4	107000001	107500000	0.969	1.011
4:108000001-108500000	4	108000001	108500000	1.016	1.093
4:108500001-109000000	4	108500001	109000000	0.994	1.058
4:109000001-109500000	4	109000001	109500000	1.011	1.037
4:109500001-110000000	4	109500001	110000000	1.012	1.012
4:110000001-110500000	4	110000001	110500000	1.039	1.058
4:110500001-111000000	4	110500001	111000000	1.087	0.976
4:111000001-111500000	4	111000001	111500000	0.934	0.963
4:111500001-112000000	4	111500001	112000000	0.998	1.01
4:112500001-113000000	4	112500001	113000000	0.99	0.906
4:113000001-113500000	4	113000001	113500000	1.013	1.064
4:113500001-114000000	4	113500001	114000000	1.032	1.092
4:114000001-114500000	4	114000001	114500000	1.009	0.894
4:114500001-115000000	4	114500001	115000000	0.971	0.963
4:115000001-115500000	4	115000001	115500000	0.904	0.883
4:115500001-116000000	4	115500001	116000000	1.014	1.118
4:116500001-117000000	4	116500001	117000000	1.089	0.965
4:117000001-117500000	4	117000001	117500000	1.002	1.064
4:117500001-118000000	4	117500001	118000000	0.99	1.059
4:118000001-118500000	4	118000001	118500000	1.029	0.971
4:119500001-120000000	4	119500001	120000000	0.984	0.96
4:120000001-120500000	4	120000001	120500000	1.031	1.033
4:120500001-121000000	4	120500001	121000000	1.059	1.18
4:121000001-121500000	4	121000001	121500000	1.027	0.995
4:121500001-122000000	4	121500001	122000000	0.969	0.97
4:122000001-122500000	4	122000001	122500000	1.05	1.047
4:122500001-123000000	4	122500001	123000000	0.955	0.999
4:123000001-123500000	4	123000001	123500000	0.935	0.846
4:123500001-124000000	4	123500001	124000000	0.99	1.044
4:124000001-124500000	4	124000001	124500000	1	1.053
4:124500001-125000000	4	124500001	125000000	0.939	0.935
4:125000001-125500000	4	125000001	125500000	0.976	1.009
4:125500001-126000000	4	125500001	126000000	0.992	0.999
4:126000001-126500000	4	126000001	126500000	0.944	0.913
4:126500001-127000000	4	126500001	127000000	0.985	1.012
4:127000001-127500000	4	127000001	127500000	0.964	0.941
4:127500001-128000000	4	127500001	128000000	0.969	0.958
4:128500001-129000000	4	128500001	129000000	0.99	1.013
4:129000001-129500000	4	129000001	129500000	1.022	0.998
4:129500001-130000000	4	129500001	130000000	0.994	1.082
4:130000001-130500000	4	130000001	130500000	1.017	1.028
4:130500001-131000000	4	130500001	131000000	0.985	1.051
4:131000001-131500000	4	131000001	131500000	0.959	0.883
4:132000001-132500000	4	132000001	132500000	1.004	0.971
4:132500001-133000000	4	132500001	133000000	0.98	0.95
4:133000001-133500000	4	133000001	133500000	0.975	0.926
4:133500001-134000000	4	133500001	134000000	0.931	0.999
4:134000001-134500000	4	134000001	134500000	0.959	0.959
4:134500001-135000000	4	134500001	135000000	0.996	0.958
4:135000001-135500000	4	135000001	135500000	0.978	0.949
4:135500001-136000000	4	135500001	136000000	0.958	0.976
4:136000001-136500000	4	136000001	136500000	0.936	0.974
4:136500001-137000000	4	136500001	137000000	0.981	0.955
4:137000001-137500000	4	137000001	137500000	1.03	1.035
4:137500001-138000000	4	137500001	138000000	1.01	0.978
4:138000001-138500000	4	138000001	138500000	1.054	1.064
4:138500001-139000000	4	138500001	139000000	1	1.149
4:139000001-139500000	4	139000001	139500000	0.896	1.028
4:139500001-140000000	4	139500001	140000000	0.962	0.928
4:140000001-140500000	4	140000001	140500000	0.96	0.901
4:141000001-141500000	4	141000001	141500000	1.096	0.96
4:141500001-142000000	4	141500001	142000000	1.036	1.143
4:142000001-142500000	4	142000001	142500000	0.976	0.906
4:142500001-143000000	4	142500001	143000000	1.001	1.117
4:144500001-145000000	4	144500001	145000000	0.968	0.934
4:145000001-145500000	4	145000001	145500000	0.988	1.115
4:145500001-146000000	4	145500001	146000000	0.988	1.071
4:146000001-146500000	4	146000001	146500000	1.015	0.964
4:146500001-147000000	4	146500001	147000000	1.047	0.984
4:147000001-147500000	4	147000001	147500000	1.011	0.963
4:147500001-148000000	4	147500001	148000000	0.994	0.943
4:148000001-148500000	4	148000001	148500000	1.056	1.013
4:148500001-149000000	4	148500001	149000000	0.925	0.991
4:149000001-149500000	4	149000001	149500000	0.929	1.013
4:149500001-150000000	4	149500001	150000000	0.976	0.988
4:150000001-150500000	4	150000001	150500000	0.98	0.965
4:150500001-151000000	4	150500001	151000000	1.03	0.938
4:151000001-151500000	4	151000001	151500000	0.973	1.044
4:151500001-152000000	4	151500001	152000000	0.986	1.044
4:152000001-152500000	4	152000001	152500000	0.952	1.061
4:152500001-153000000	4	152500001	153000000	0.95	0.943
4:153000001-153500000	4	153000001	153500000	0.997	1.025
4:153500001-154000000	4	153500001	154000000	0.952	0.927
4:154000001-154500000	4	154000001	154500000	1.034	0.971
4:154500001-155000000	4	154500001	155000000	1.054	0.984
4:155500001-156000000	4	155500001	156000000	0.973	0.878
4:156000001-156500000	4	156000001	156500000	0.936	0.985
4:156500001-157000000	4	156500001	157000000	1.03	1.044
4:157000001-157500000	4	157000001	157500000	1.011	1.04
4:158000001-158500000	4	158000001	158500000	1.069	1.056
4:158500001-159000000	4	158500001	159000000	1.007	0.993
4:159000001-159500000	4	159000001	159500000	0.987	0.883
4:159500001-160000000	4	159500001	160000000	0.943	0.998
4:160500001-161000000	4	160500001	161000000	0.996	1.04
4:162500001-163000000	4	162500001	163000000	0.954	0.95
4:163000001-163500000	4	163000001	163500000	1.027	1.009
4:163500001-164000000	4	163500001	164000000	0.998	0.951
4:164000001-164500000	4	164000001	164500000	0.994	1.012
4:164500001-165000000	4	164500001	165000000	0.993	0.892
4:165000001-165500000	4	165000001	165500000	0.951	0.921
4:165500001-166000000	4	165500001	166000000	1.025	0.925
4:166000001-166500000	4	166000001	166500000	1.026	0.999
4:166500001-167000000	4	166500001	167000000	1.025	1.088
4:167000001-167500000	4	167000001	167500000	1.121	1.077
4:167500001-168000000	4	167500001	168000000	1.014	0.916
4:168000001-168500000	4	168000001	168500000	1.015	1.036
4:168500001-169000000	4	168500001	169000000	1.045	1.006
4:169000001-169500000	4	169000001	169500000	0.985	1.056
4:169500001-170000000	4	169500001	170000000	0.97	1.07
4:170000001-170500000	4	170000001	170500000	1.008	0.963
4:170500001-171000000	4	170500001	171000000	1.015	1.138
4:171000001-171500000	4	171000001	171500000	1.039	1.005
4:171500001-172000000	4	171500001	172000000	0.978	1.12
4:172500001-173000000	4	172500001	173000000	1.024	1.004
4:173000001-173500000	4	173000001	173500000	1.047	1.103
4:173500001-174000000	4	173500001	174000000	1.042	0.995
4:174000001-174500000	4	174000001	174500000	0.981	1.088
4:174500001-175000000	4	174500001	175000000	1.022	1.016
4:175000001-175500000	4	175000001	175500000	0.938	1.01
4:175500001-176000000	4	175500001	176000000	0.968	1.079
4:176000001-176500000	4	176000001	176500000	0.927	0.976
4:176500001-177000000	4	176500001	177000000	0.969	0.971
4:177000001-177500000	4	177000001	177500000	1.039	1.019
4:177500001-178000000	4	177500001	178000000	0.944	1.075
4:178000001-178500000	4	178000001	178500000	0.925	0.989
4:178500001-179000000	4	178500001	179000000	0.997	1.094
4:179500001-180000000	4	179500001	180000000	0.983	1.016
4:180000001-180500000	4	180000001	180500000	1.104	1.075
4:180500001-181000000	4	180500001	181000000	0.941	0.94
4:181000001-181500000	4	181000001	181500000	0.976	1.021
4:181500001-182000000	4	181500001	182000000	0.982	0.969
4:182000001-182500000	4	182000001	182500000	0.995	1.07
4:182500001-183000000	4	182500001	183000000	0.983	1.079
4:183500001-184000000	4	183500001	184000000	0.993	0.967
4:184000001-184500000	4	184000001	184500000	0.962	0.964
4:184500001-185000000	4	184500001	185000000	0.927	0.939
4:185000001-185500000	4	185000001	185500000	0.955	1.05
4:185500001-186000000	4	185500001	186000000	0.971	1.002
4:186000001-186500000	4	186000001	186500000	1.033	1.048
4:186500001-187000000	4	186500001	187000000	0.934	1.063
4:187000001-187500000	4	187000001	187500000	0.847	0.959
4:187500001-188000000	4	187500001	188000000	0.905	0.955
4:188500001-189000000	4	188500001	189000000	1.024	0.966
4:189000001-189500000	4	189000001	189500000	1.018	0.937
5:500001-1000000	5	500001	1000000	1.2	1.269
5:1000001-1500000	5	1000001	1500000	1.044	1.051
5:1500001-2000000	5	1500001	2000000	0.983	0.961
5:2000001-2500000	5	2000001	2500000	0.886	1.018
5:2500001-3000000	5	2500001	3000000	0.918	0.989
5:3000001-3500000	5	3000001	3500000	0.926	0.968
5:4000001-4500000	5	4000001	4500000	0.957	1.073
5:4500001-5000000	5	4500001	5000000	1.033	0.973
5:5500001-6000000	5	5500001	6000000	0.958	0.983
5:6000001-6500000	5	6000001	6500000	0.952	0.942
5:6500001-7000000	5	6500001	7000000	0.961	0.974
5:7000001-7500000	5	7000001	7500000	1.024	1.038
5:7500001-8000000	5	7500001	8000000	0.967	0.976
5:8000001-8500000	5	8000001	8500000	1	0.958
5:9000001-9500000	5	9000001	9500000	0.967	1.074
5:9500001-10000000	5	9500001	10000000	0.926	0.928
5:10000001-10500000	5	10000001	10500000	0.975	0.975
5:10500001-11000000	5	10500001	11000000	0.968	0.961
5:11000001-11500000	5	11000001	11500000	0.971	1.035
5:11500001-12000000	5	11500001	12000000	1.083	1.003
5:12000001-12500000	5	12000001	12500000	0.949	0.974
5:12500001-13000000	5	12500001	13000000	1.012	1.063
5:13000001-13500000	5	13000001	13500000	0.961	0.997
5:13500001-14000000	5	13500001	14000000	0.976	1.111
5:14000001-14500000	5	14000001	14500000	0.958	0.863
5:14500001-15000000	5	14500001	15000000	0.953	0.927
5:15000001-15500000	5	15000001	15500000	0.932	0.931
5:15500001-16000000	5	15500001	16000000	0.923	0.879
5:16000001-16500000	5	16000001	16500000	1.035	1.12
5:16500001-17000000	5	16500001	17000000	1.045	1.149
5:17000001-17500000	5	17000001	17500000	1.03	0.91
5:17500001-18000000	5	17500001	18000000	1.05	1.013
5:18000001-18500000	5	18000001	18500000	0.967	1.022
5:18500001-19000000	5	18500001	19000000	0.977	0.983
5:19000001-19500000	5	19000001	19500000	0.908	1.005
5:19500001-20000000	5	19500001	20000000	1.023	1.014
5:20000001-20500000	5	20000001	20500000	0.963	0.987
5:21500001-22000000	5	21500001	22000000	0.981	0.993
5:22000001-22500000	5	22000001	22500000	0.914	0.935
5:22500001-23000000	5	22500001	23000000	0.937	0.929
5:23000001-23500000	5	23000001	23500000	0.868	0.826
5:23500001-24000000	5	23500001	24000000	0.931	0.936
5:24000001-24500000	5	24000001	24500000	1	1.027
5:24500001-25000000	5	24500001	25000000	0.985	1.013
5:25000001-25500000	5	25000001	25500000	0.906	0.922
5:25500001-26000000	5	25500001	26000000	0.928	0.932
5:26000001-26500000	5	26000001	26500000	0.978	0.94
5:26500001-27000000	5	26500001	27000000	0.94	0.979
5:27000001-27500000	5	27000001	27500000	1.012	1.088
5:27500001-28000000	5	27500001	28000000	0.916	0.997
5:28000001-28500000	5	28000001	28500000	0.993	0.946
5:28500001-29000000	5	28500001	29000000	0.97	0.975
5:29000001-29500000	5	29000001	29500000	1.033	0.952
5:29500001-30000000	5	29500001	30000000	0.975	0.935
5:30000001-30500000	5	30000001	30500000	1.005	1.032
5:30500001-31000000	5	30500001	31000000	0.959	0.935
5:31000001-31500000	5	31000001	31500000	1.038	1.139
5:31500001-32000000	5	31500001	32000000	0.986	1.04
5:32000001-32500000	5	32000001	32500000	0.953	0.901
5:33000001-33500000	5	33000001	33500000	1.125	1.057
5:33500001-34000000	5	33500001	34000000	0.956	1.126
5:34500001-35000000	5	34500001	35000000	0.932	1.036
5:35000001-35500000	5	35000001	35500000	1.037	1.025
5:35500001-36000000	5	35500001	36000000	1.059	1.034
5:36000001-36500000	5	36000001	36500000	0.974	0.907
5:36500001-37000000	5	36500001	37000000	0.967	0.875
5:37500001-38000000	5	37500001	38000000	1.017	0.951
5:38000001-38500000	5	38000001	38500000	1.065	1.01
5:38500001-39000000	5	38500001	39000000	0.994	1.008
5:39000001-39500000	5	39000001	39500000	0.972	0.892
5:39500001-40000000	5	39500001	40000000	1.054	1.037
5:40000001-40500000	5	40000001	40500000	1.039	1.004
5:40500001-41000000	5	40500001	41000000	1.033	0.945
5:41000001-41500000	5	41000001	41500000	1.023	1.121
5:41500001-42000000	5	41500001	42000000	1.03	1.166
5:42000001-42500000	5	42000001	42500000	0.953	1.036
5:42500001-43000000	5	42500001	43000000	1.053	1.07
5:43000001-43500000	5	43000001	43500000	0.977	0.947
5:43500001-44000000	5	43500001	44000000	1.012	0.991
5:44000001-44500000	5	44000001	44500000	0.968	0.996
5:44500001-45000000	5	44500001	45000000	1.015	0.963
5:45000001-45500000	5	45000001	45500000	0.951	1.065
5:50500001-51000000	5	50500001	51000000	0.991	0.991
5:51000001-51500000	5	51000001	51500000	1.045	0.991
5:51500001-52000000	5	51500001	52000000	1.018	1.013
5:52000001-52500000	5	52000001	52500000	1.075	0.919
5:52500001-53000000	5	52500001	53000000	1.056	1.016
5:53000001-53500000	5	53000001	53500000	0.996	1.047
5:53500001-54000000	5	53500001	54000000	0.982	0.992
5:54000001-54500000	5	54000001	54500000	1.038	1.02
5:54500001-55000000	5	54500001	55000000	1.053	0.856
5:55000001-55500000	5	55000001	55500000	0.982	1.013
5:55500001-56000000	5	55500001	56000000	1.018	0.96
5:56000001-56500000	5	56000001	56500000	1.033	1.06
5:56500001-57000000	5	56500001	57000000	0.976	1.051
5:57000001-57500000	5	57000001	57500000	0.987	0.952
5:57500001-58000000	5	57500001	58000000	1.119	1.077
5:58000001-58500000	5	58000001	58500000	1.039	1.027
5:58500001-59000000	5	58500001	59000000	1.042	0.964
5:59000001-59500000	5	59000001	59500000	1.018	0.965
5:59500001-60000000	5	59500001	60000000	1.07	0.931
5:60000001-60500000	5	60000001	60500000	1.137	1.01
5:61000001-61500000	5	61000001	61500000	1	0.991
5:61500001-62000000	5	61500001	62000000	0.983	0.954
5:62000001-62500000	5	62000001	62500000	0.97	0.946
5:62500001-63000000	5	62500001	63000000	1.043	1.118
5:63000001-63500000	5	63000001	63500000	0.986	1.039
5:63500001-64000000	5	63500001	64000000	0.974	0.956
5:64000001-64500000	5	64000001	64500000	1.039	1.046
5:64500001-65000000	5	64500001	65000000	1.094	0.979
5:65000001-65500000	5	65000001	65500000	1.04	0.93
5:65500001-66000000	5	65500001	66000000	0.888	0.842
5:66500001-67000000	5	66500001	67000000	0.984	0.942
5:67000001-67500000	5	67000001	67500000	0.971	0.953
5:67500001-68000000	5	67500001	68000000	1.084	1.128
5:68000001-68500000	5	68000001	68500000	0.99	1.013
5:68500001-69000000	5	68500001	69000000	0.977	1.078
5:69000001-69500000	5	69000001	69500000	0.923	0.824
5:71500001-72000000	5	71500001	72000000	0.975	0.932
5:72000001-72500000	5	72000001	72500000	0.96	0.98
5:72500001-73000000	5	72500001	73000000	1.015	1.019
5:73000001-73500000	5	73000001	73500000	1.037	0.988
5:74000001-74500000	5	74000001	74500000	1.057	1.079
5:74500001-75000000	5	74500001	75000000	0.988	1.048
5:75000001-75500000	5	75000001	75500000	1.012	1.016
5:75500001-76000000	5	75500001	76000000	1.05	0.98
5:76000001-76500000	5	76000001	76500000	1.038	1.065
5:76500001-77000000	5	76500001	77000000	0.977	0.892
5:77000001-77500000	5	77000001	77500000	1.081	0.912
5:77500001-78000000	5	77500001	78000000	1.073	1.006
5:78000001-78500000	5	78000001	78500000	0.927	0.979
5:78500001-79000000	5	78500001	79000000	1.036	1.103
5:79500001-80000000	5	79500001	80000000	1.025	1
5:80000001-80500000	5	80000001	80500000	0.997	0.991
5:81000001-81500000	5	81000001	81500000	0.985	1.022
5:81500001-82000000	5	81500001	82000000	0.998	1.012
5:82000001-82500000	5	82000001	82500000	1.019	0.943
5:82500001-83000000	5	82500001	83000000	1.061	1.038
5:83000001-83500000	5	83000001	83500000	1.029	0.944
5:83500001-84000000	5	83500001	84000000	0.976	1.005
5:84000001-84500000	5	84000001	84500000	1.121	1.048
5:84500001-85000000	5	84500001	85000000	1.01	1.035
5:85000001-85500000	5	85000001	85500000	0.935	0.905
5:85500001-86000000	5	85500001	86000000	0.952	1.003
5:86000001-86500000	5	86000001	86500000	0.918	0.988
5:86500001-87000000	5	86500001	87000000	1.024	1.016
5:87000001-87500000	5	87000001	87500000	1.006	0.932
5:87500001-88000000	5	87500001	88000000	0.999	0.993
5:88000001-88500000	5	88000001	88500000	0.942	0.922
5:88500001-89000000	5	88500001	89000000	0.937	0.887
5:89000001-89500000	5	89000001	89500000	1.047	0.963
5:89500001-90000000	5	89500001	90000000	1.071	1.093
5:90000001-90500000	5	90000001	90500000	1.075	1.047
5:90500001-91000000	5	90500001	91000000	1.021	1.116
5:91000001-91500000	5	91000001	91500000	0.935	0.955
5:91500001-92000000	5	91500001	92000000	1.009	0.989
5:92000001-92500000	5	92000001	92500000	0.958	0.887
5:92500001-93000000	5	92500001	93000000	1.012	0.997
5:93000001-93500000	5	93000001	93500000	1.049	1.166
5:93500001-94000000	5	93500001	94000000	0.99	0.932
5:94000001-94500000	5	94000001	94500000	0.995	1.039
5:95000001-95500000	5	95000001	95500000	0.99	0.997
5:95500001-96000000	5	95500001	96000000	1.044	0.979
5:96000001-96500000	5	96000001	96500000	1.113	0.922
5:96500001-97000000	5	96500001	97000000	0.903	0.997
5:97000001-97500000	5	97000001	97500000	0.961	1.01
5:98500001-99000000	5	98500001	99000000	0.912	0.891
5:99000001-99500000	5	99000001	99500000	0.957	0.915
5:100500001-101000000	5	100500001	101000000	0.949	0.964
5:101000001-101500000	5	101000001	101500000	1.033	1
5:101500001-102000000	5	101500001	102000000	1.019	0.915
5:102000001-102500000	5	102000001	102500000	1.027	0.967
5:102500001-103000000	5	102500001	103000000	1.049	0.976
5:103000001-103500000	5	103000001	103500000	0.951	0.976
5:103500001-104000000	5	103500001	104000000	0.999	1.004
5:104000001-104500000	5	104000001	104500000	0.997	0.977
5:104500001-105000000	5	104500001	105000000	0.961	0.938
5:105000001-105500000	5	105000001	105500000	0.977	0.973
5:105500001-106000000	5	105500001	106000000	0.967	0.939
5:106000001-106500000	5	106000001	106500000	0.964	0.985
5:107000001-107500000	5	107000001	107500000	1.017	1.054
5:107500001-108000000	5	107500001	108000000	1.051	1.004
5:108000001-108500000	5	108000001	108500000	0.957	1.039
5:108500001-109000000	5	108500001	109000000	0.966	0.913
5:109000001-109500000	5	109000001	109500000	0.993	1.049
5:109500001-110000000	5	109500001	110000000	1.037	0.952
5:110000001-110500000	5	110000001	110500000	1.019	0.976
5:110500001-111000000	5	110500001	111000000	0.988	0.981
5:111500001-112000000	5	111500001	112000000	0.995	1.012
5:112000001-112500000	5	112000001	112500000	1.001	0.934
5:112500001-113000000	5	112500001	113000000	0.938	0.964
5:113000001-113500000	5	113000001	113500000	1.024	1.017
5:113500001-114000000	5	113500001	114000000	0.921	0.902
5:114000001-114500000	5	114000001	114500000	0.972	0.942
5:114500001-115000000	5	114500001	115000000	0.977	0.985
5:115000001-115500000	5	115000001	115500000	0.997	0.893
5:115500001-116000000	5	115500001	116000000	0.975	0.829
5:116000001-116500000	5	116000001	116500000	1.07	1.069
5:116500001-117000000	5	116500001	117000000	1.001	1.034
5:117000001-117500000	5	117000001	117500000	0.954	1.005
5:117500001-118000000	5	117500001	118000000	0.956	1.008
5:118000001-118500000	5	118000001	118500000	0.989	0.969
5:118500001-119000000	5	118500001	119000000	0.998	0.983
5:119500001-120000000	5	119500001	120000000	1.075	1.092
5:120000001-120500000	5	120000001	120500000	1.036	1.094
5:120500001-121000000	5	120500001	121000000	0.953	1.031
5:121500001-122000000	5	121500001	122000000	1.034	1
5:122500001-123000000	5	122500001	123000000	1.024	1.027
5:123000001-123500000	5	123000001	123500000	1.017	0.971
5:124000001-124500000	5	124000001	124500000	0.998	1.08
