feature	chromosome	start	end	SLX-17922.D708tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D709tp_D507tp.HC22VBBXY.s_3.r_1
1:104500001-105000000	1	104500001	105000000	0.93	0.941	0.947	0.977
1:105000001-105500000	1	105000001	105500000	1.021	0.976	0.877	0.837
1:105500001-106000000	1	105500001	106000000	1.002	0.905	0.934	0.939
1:106000001-106500000	1	106000001	106500000	0.962	0.981	1.05	0.867
1:107000001-107500000	1	107000001	107500000	1.021	0.914	0.964	1.022
1:107500001-108000000	1	107500001	108000000	1.036	1.072	1.016	1.076
1:108500001-109000000	1	108500001	109000000	0.957	0.917	0.943	1.016
1:109000001-109500000	1	109000001	109500000	0.864	0.907	0.924	0.908
1:109500001-110000000	1	109500001	110000000	1.038	0.991	0.979	0.991
1:110000001-110500000	1	110000001	110500000	0.959	1.023	1.084	0.977
1:110500001-111000000	1	110500001	111000000	0.848	1.039	0.938	0.954
1:111000001-111500000	1	111000001	111500000	1.042	1.042	0.976	0.942
1:111500001-112000000	1	111500001	112000000	0.947	0.908	0.934	0.86
1:112000001-112500000	1	112000001	112500000	1.038	1.047	0.973	1.11
1:112500001-113000000	1	112500001	113000000	1.053	0.987	0.969	1.076
1:113000001-113500000	1	113000001	113500000	0.988	0.896	1.097	0.903
1:113500001-114000000	1	113500001	114000000	0.926	0.93	0.977	1.005
1:114000001-114500000	1	114000001	114500000	1.014	0.973	0.988	1.015
1:114500001-115000000	1	114500001	115000000	0.888	0.988	1.038	0.96
1:115000001-115500000	1	115000001	115500000	0.943	0.937	1.024	1.062
1:115500001-116000000	1	115500001	116000000	1.015	1.043	0.948	1.121
1:116000001-116500000	1	116000001	116500000	1.038	1.083	0.983	1.003
1:116500001-117000000	1	116500001	117000000	1.027	1.191	1.107	1.043
1:117000001-117500000	1	117000001	117500000	1.032	0.969	1.036	1.077
1:117500001-118000000	1	117500001	118000000	1.092	0.952	1.002	0.97
1:118000001-118500000	1	118000001	118500000	1.002	1.086	0.994	0.983
1:118500001-119000000	1	118500001	119000000	1.131	1.099	1.167	1.014
1:119000001-119500000	1	119000001	119500000	1.05	1.043	1.02	0.948
1:119500001-120000000	1	119500001	120000000	1.02	0.995	0.996	1.025
1:147500001-148000000	1	147500001	148000000	1.102	1.131	1	1.088
1:150000001-150500000	1	150000001	150500000	0.993	0.982	0.882	0.887
1:150500001-151000000	1	150500001	151000000	0.957	0.886	0.89	0.944
1:151000001-151500000	1	151000001	151500000	0.907	0.966	0.899	0.917
1:151500001-152000000	1	151500001	152000000	0.972	0.976	0.914	0.925
1:152000001-152500000	1	152000001	152500000	1.093	1.035	1.111	1.097
1:152500001-153000000	1	152500001	153000000	0.975	1.099	1.102	1.07
1:153000001-153500000	1	153000001	153500000	1.007	1.067	1.081	1.127
1:153500001-154000000	1	153500001	154000000	0.931	0.917	1.01	0.953
1:154000001-154500000	1	154000001	154500000	1.001	0.87	1.072	1.076
1:154500001-155000000	1	154500001	155000000	0.995	1.012	1.044	0.973
1:155000001-155500000	1	155000001	155500000	0.902	0.962	1.005	0.873
1:156000001-156500000	1	156000001	156500000	1.03	1.055	1.123	0.965
1:156500001-157000000	1	156500001	157000000	1.059	1.015	1.078	1.023
1:157000001-157500000	1	157000001	157500000	1.093	1.043	0.969	1.056
1:157500001-158000000	1	157500001	158000000	1.031	1.059	1.047	1.039
1:159500001-160000000	1	159500001	160000000	1.073	1.072	1.01	1.031
1:160000001-160500000	1	160000001	160500000	0.993	0.897	0.922	0.892
1:160500001-161000000	1	160500001	161000000	1.024	1.199	1.061	0.892
1:161000001-161500000	1	161000001	161500000	1.087	1.017	0.969	1.04
1:161500001-162000000	1	161500001	162000000	0.932	0.954	0.769	0.927
1:162000001-162500000	1	162000001	162500000	1.08	1.048	1.027	1.02
1:162500001-163000000	1	162500001	163000000	1.008	1.039	1.041	1.113
