feature	chromosome	start	end	SLX-17921.D706tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D706tp_D502tp.HC22VBBXY.s_3.r_1
2:9000001-9500000	2	9000001	9500000	1.017	0.9
2:9500001-10000000	2	9500001	10000000	1.109	1.045
2:10000001-10500000	2	10000001	10500000	1.03	0.917
2:10500001-11000000	2	10500001	11000000	1.043	1.031
2:11000001-11500000	2	11000001	11500000	0.978	0.948
2:11500001-12000000	2	11500001	12000000	1.025	1.062
2:12000001-12500000	2	12000001	12500000	1.008	0.949
2:12500001-13000000	2	12500001	13000000	1.102	1.088
2:13000001-13500000	2	13000001	13500000	1.087	0.971
2:13500001-14000000	2	13500001	14000000	1.061	1.027
2:14000001-14500000	2	14000001	14500000	1.061	0.986
2:14500001-15000000	2	14500001	15000000	1.167	1.081
2:15000001-15500000	2	15000001	15500000	1.018	0.996
2:15500001-16000000	2	15500001	16000000	1.144	1.106
2:16500001-17000000	2	16500001	17000000	1.003	1.074
2:17000001-17500000	2	17000001	17500000	1.078	1.078
2:17500001-18000000	2	17500001	18000000	1.055	1.062
2:18000001-18500000	2	18000001	18500000	1.178	1.057
2:18500001-19000000	2	18500001	19000000	0.98	1.059
2:19000001-19500000	2	19000001	19500000	1.111	0.996
2:19500001-20000000	2	19500001	20000000	1.072	0.986
2:20000001-20500000	2	20000001	20500000	0.958	0.954
2:20500001-21000000	2	20500001	21000000	1.143	1.005
2:21000001-21500000	2	21000001	21500000	0.961	0.984
2:21500001-22000000	2	21500001	22000000	1.107	1.014
2:22500001-23000000	2	22500001	23000000	1.143	1.079
2:23000001-23500000	2	23000001	23500000	1.031	1.021
2:23500001-24000000	2	23500001	24000000	1.039	1.064
2:24000001-24500000	2	24000001	24500000	1	0.961
2:25000001-25500000	2	25000001	25500000	1.138	1.007
2:25500001-26000000	2	25500001	26000000	1.08	0.952
2:26000001-26500000	2	26000001	26500000	0.955	0.973
2:26500001-27000000	2	26500001	27000000	1.155	1.036
2:27000001-27500000	2	27000001	27500000	1.084	1
2:27500001-28000000	2	27500001	28000000	0.979	0.915
2:28000001-28500000	2	28000001	28500000	0.966	0.975
2:28500001-29000000	2	28500001	29000000	0.887	0.985
2:29000001-29500000	2	29000001	29500000	1.135	1.019
2:29500001-30000000	2	29500001	30000000	1.024	1.077
2:30000001-30500000	2	30000001	30500000	1.129	0.978
2:30500001-31000000	2	30500001	31000000	0.993	1.109
2:31000001-31500000	2	31000001	31500000	1.262	0.958
2:31500001-32000000	2	31500001	32000000	1.015	0.938
2:32000001-32500000	2	32000001	32500000	0.97	0.963
2:33000001-33500000	2	33000001	33500000	0.977	0.933
2:34000001-34500000	2	34000001	34500000	1.092	0.993
2:34500001-35000000	2	34500001	35000000	1.005	0.986
2:35000001-35500000	2	35000001	35500000	1.07	1.032
2:35500001-36000000	2	35500001	36000000	1.014	0.971
2:36500001-37000000	2	36500001	37000000	1.049	1.006
2:37000001-37500000	2	37000001	37500000	0.921	0.983
2:37500001-38000000	2	37500001	38000000	1.045	1.001
2:38000001-38500000	2	38000001	38500000	1.053	1.018
2:38500001-39000000	2	38500001	39000000	0.892	0.921
2:39000001-39500000	2	39000001	39500000	1.042	0.975
2:39500001-40000000	2	39500001	40000000	1.013	1.017
2:40000001-40500000	2	40000001	40500000	1.055	0.956
2:41000001-41500000	2	41000001	41500000	1.17	1.023
2:41500001-42000000	2	41500001	42000000	1.036	1.036
2:42000001-42500000	2	42000001	42500000	0.978	0.978
2:42500001-43000000	2	42500001	43000000	0.978	1.103
2:43000001-43500000	2	43000001	43500000	1.107	0.884
2:43500001-44000000	2	43500001	44000000	1.087	1.028
2:44000001-44500000	2	44000001	44500000	0.969	0.92
2:44500001-45000000	2	44500001	45000000	1.039	1.07
2:45000001-45500000	2	45000001	45500000	1.015	1.011
2:45500001-46000000	2	45500001	46000000	0.947	0.894
2:46000001-46500000	2	46000001	46500000	0.973	1.012
2:46500001-47000000	2	46500001	47000000	0.987	0.94
2:47000001-47500000	2	47000001	47500000	1.053	0.924
2:47500001-48000000	2	47500001	48000000	0.99	1.027
2:48000001-48500000	2	48000001	48500000	0.883	0.955
2:48500001-49000000	2	48500001	49000000	1.093	0.972
2:49500001-50000000	2	49500001	50000000	0.936	0.975
2:50000001-50500000	2	50000001	50500000	1.031	0.953
2:51000001-51500000	2	51000001	51500000	0.942	0.99
2:51500001-52000000	2	51500001	52000000	1.087	0.945
2:52000001-52500000	2	52000001	52500000	1.075	0.965
2:52500001-53000000	2	52500001	53000000	0.956	0.941
2:53000001-53500000	2	53000001	53500000	1.124	1.021
2:53500001-54000000	2	53500001	54000000	0.971	0.939
2:54500001-55000000	2	54500001	55000000	1.047	1.004
2:55000001-55500000	2	55000001	55500000	0.95	0.957
2:55500001-56000000	2	55500001	56000000	0.988	1.057
2:56000001-56500000	2	56000001	56500000	1.161	1.005
2:56500001-57000000	2	56500001	57000000	1.165	1.104
2:57000001-57500000	2	57000001	57500000	0.949	1.015
