feature	chromosome	start	end	SLX-17922.D709tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D503tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D506tp.HC22GBBXY.s_6.r_1
1:161000001-161500000	1	161000001	161500000	1.05	1.09	1.024
1:161500001-162000000	1	161500001	162000000	0.939	0.973	0.923
1:162000001-162500000	1	162000001	162500000	1.091	0.908	1.001
1:162500001-163000000	1	162500001	163000000	1.001	0.997	1.057
1:163000001-163500000	1	163000001	163500000	1.024	0.979	1.034
1:163500001-164000000	1	163500001	164000000	1.007	1.003	1.037
1:164000001-164500000	1	164000001	164500000	0.984	1.101	1.116
1:164500001-165000000	1	164500001	165000000	1.035	1.001	1.055
1:165000001-165500000	1	165000001	165500000	1.047	1.086	1.056
1:165500001-166000000	1	165500001	166000000	0.988	0.923	1.05
1:166000001-166500000	1	166000001	166500000	1.021	1.126	1.048
1:166500001-167000000	1	166500001	167000000	1.034	1.011	1.069
1:167000001-167500000	1	167000001	167500000	1.029	0.978	0.952
1:167500001-168000000	1	167500001	168000000	0.91	0.953	1.006
1:168000001-168500000	1	168000001	168500000	0.95	0.981	1.012
1:168500001-169000000	1	168500001	169000000	1.081	0.926	1.035
1:169500001-170000000	1	169500001	170000000	1.03	0.968	1.034
1:170500001-171000000	1	170500001	171000000	0.918	1.083	1
1:171000001-171500000	1	171000001	171500000	1.083	0.942	1.062
1:171500001-172000000	1	171500001	172000000	0.964	1.057	0.992
1:172000001-172500000	1	172000001	172500000	0.947	0.99	1.008
1:173000001-173500000	1	173000001	173500000	1.03	1.119	1.049
1:173500001-174000000	1	173500001	174000000	1.08	0.952	1.055
1:174000001-174500000	1	174000001	174500000	0.991	0.947	0.982
1:174500001-175000000	1	174500001	175000000	1.175	0.981	1.12
1:175000001-175500000	1	175000001	175500000	1.184	0.931	0.996
1:175500001-176000000	1	175500001	176000000	1.02	0.983	1.004
1:176000001-176500000	1	176000001	176500000	0.976	0.993	1.043
1:176500001-177000000	1	176500001	177000000	0.994	1.023	1.091
1:177000001-177500000	1	177000001	177500000	0.924	1.017	0.95
1:177500001-178000000	1	177500001	178000000	1.135	1.132	1.096
1:178000001-178500000	1	178000001	178500000	1.007	0.977	1.032
1:178500001-179000000	1	178500001	179000000	1.114	1.046	0.976
1:179000001-179500000	1	179000001	179500000	0.974	0.996	0.979
1:179500001-180000000	1	179500001	180000000	1.057	0.923	1.01
1:180000001-180500000	1	180000001	180500000	1.038	0.961	0.987
1:180500001-181000000	1	180500001	181000000	1.051	0.876	0.98
1:181500001-182000000	1	181500001	182000000	1.096	1.041	0.935
1:182000001-182500000	1	182000001	182500000	1.091	0.924	1.069
1:182500001-183000000	1	182500001	183000000	1.076	0.933	0.936
1:183000001-183500000	1	183000001	183500000	1.142	1.127	1.102
1:183500001-184000000	1	183500001	184000000	0.981	0.935	0.985
1:184000001-184500000	1	184000001	184500000	1.116	0.96	1.064
1:184500001-185000000	1	184500001	185000000	0.981	0.969	1.017
1:185000001-185500000	1	185000001	185500000	0.907	0.992	1.004
1:185500001-186000000	1	185500001	186000000	1.082	0.952	0.993
1:186000001-186500000	1	186000001	186500000	1.078	0.953	1.054
1:186500001-187000000	1	186500001	187000000	0.897	0.994	0.987
